PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
176.08	0.000438524	0.000745652	0.000231139	2.17561E-05	0.000229702
176.156	0.000162887	0.000137882	3.03368E-05	6.72418E-06	6.39791E-05
177.019	0	0	0.000097698	5.61175E-05	0.000179279
177.07	0	3.81433E-06	1.39504E-05	0	0
177.092	0.000426137	0.000585694	0.00011677	6.30247E-05	0.000282301
178.027	0	3.00009E-05	7.58838E-05	3.18831E-05	0.000243198
178.078	0.000884306	0.001234389	0.000477596	0	0.000279775
179.034	6.85229E-05	0.000165656	0.000213667	4.53699E-05	0.000325915
179.086	0.000837838	0.001071619	0.000396038	3.53128E-05	0.000290706
180.094	0.000543946	0.000887989	0.000287082	0	0.000268954
181.087	0.000922216	0.001881135	0.000639795	0	0.000218002
