PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2	OOA3_BB-aq
07/05/2013 4:47	07/05/2013 4:52	0.117700135	0.021372824	0.737403405	0.9600198	0.387814537
07/05/2013 4:52	07/05/2013 4:57	0.106215289	0.136581204	0.703974444	0.966448169	0.371714238
07/05/2013 4:57	07/05/2013 5:01	0.138716957	0.212749979	0.757180501	0.845687214	0.333689345
07/05/2013 5:01	07/05/2013 5:06	0.100231321	0.070548192	0.730856902	0.93352188	0.326601942
07/05/2013 5:06	07/05/2013 5:11	0.113893102	0.069772778	0.762265476	0.851300416	0.440456129
07/05/2013 5:11	07/05/2013 5:15	0.16069204	0.107426443	0.64982572	0.932952316	0.35774946
07/05/2013 5:15	07/05/2013 5:20	0.121008314	0.093317605	0.696371194	0.927701944	0.318615886
07/05/2013 5:20	07/05/2013 5:25	0.127736577	0.081897106	0.664719334	0.932522413	0.348485486
07/05/2013 5:25	07/05/2013 5:29	0.205089741	0.138006425	0.730500464	0.842912829	0.332587992
07/05/2013 5:29	07/05/2013 5:34	0.201961517	0.135698504	0.661781697	0.902879729	0.377564465
07/05/2013 5:34	07/05/2013 5:39	0.16844481	0.119124077	0.651595937	0.948149754	0.294319939
07/05/2013 5:39	07/05/2013 5:43	0.129950244	0.110260349	0.618912899	0.922777633	0.316213949
07/05/2013 5:43	07/05/2013 5:48	0.127586416	0.044725359	0.717986877	0.942631769	0.295908861
07/05/2013 5:48	07/05/2013 5:53	0.182993043	0.105617681	0.658414493	0.942153623	0.269577971
07/05/2013 5:53	07/05/2013 5:57	0.210727246	0.183755362	0.802892754	0.755191304	0.376895652
07/05/2013 5:57	07/05/2013 6:02	0.265433623	0.185063188	0.644049275	0.89942029	0.275557391
07/05/2013 6:02	07/05/2013 6:07	0.28260087	0.218208696	0.709524638	0.789310145	0.325684058
07/05/2013 6:07	07/05/2013 6:11	0.246018841	0.186398551	0.681901449	0.846489855	0.256274203
07/05/2013 6:11	07/05/2013 6:16	0.297002899	0.200284058	0.653582609	0.868121739	0.296205797
07/05/2013 6:16	07/05/2013 6:21	0.370182609	0.208614493	0.721249275	0.834075362	0.263532754
07/05/2013 6:21	07/05/2013 6:25	0.3644	0.271317101	0.694756522	0.808985507	0.282237101
07/05/2013 6:25	07/05/2013 6:30	0.431002899	0.242935652	0.749481159	0.736156522	0.298104348
07/05/2013 6:30	07/05/2013 6:35	0.395121739	0.289043478	0.735930435	0.787768116	0.204989855
07/05/2013 6:35	07/05/2013 6:39	0.417272464	0.226451014	0.699489855	0.772646377	0.3504
07/05/2013 6:39	07/05/2013 6:44	0.365446377	0.288296232	0.686852174	0.813197101	0.241888116
07/05/2013 6:44	07/05/2013 6:49	0.359768116	0.227445507	0.637556522	0.877298551	0.283676232
07/05/2013 6:49	07/05/2013 6:53	0.384756522	0.299753623	0.687469565	0.693721739	0.278216812
07/05/2013 6:53	07/05/2013 6:58	0.363628986	0.249430725	0.636968116	0.761811594	0.311086957
07/05/2013 6:58	07/05/2013 7:03	0.448394203	0.223153913	0.606817391	0.902956522	0.277134203
07/05/2013 7:03	07/05/2013 7:07	0.409924638	0.247150435	0.568562319	0.861463768	0.204528696
07/05/2013 7:07	07/05/2013 7:12	0.398811594	0.369263768	0.611191304	0.749133333	0.284104928
07/05/2013 7:12	07/05/2013 7:17	0.408553623	0.245111594	0.621594203	0.893513043	0.269868986
07/05/2013 7:17	07/05/2013 7:21	0.635217391	0.320936232	0.525901449	0.865826087	0.296492754
07/05/2013 7:21	07/05/2013 7:26	0.711229009	0.282939096	0.487364849	0.944044744	0.299082701
07/05/2013 7:26	07/05/2013 7:31	0.50854495	0.220779144	0.556738637	0.93000662	0.25109252
07/05/2013 7:31	07/05/2013 7:35	0.566382495	0.292480818	0.560929241	0.910440466	0.287215118
07/05/2013 7:35	07/05/2013 7:40	0.589129711	0.27660108	0.554879903	0.919492102	0.245018749
07/05/2013 7:40	07/05/2013 7:45	0.683193592	0.318661941	0.638427407	0.818555335	0.286754545
07/05/2013 7:45	07/05/2013 7:49	0.566182637	0.213773463	0.596057408	0.880855495	0.242166033
07/05/2013 7:49	07/05/2013 7:54	0.58247981	0.247006156	0.54182606	0.943734661	0.299968464
07/05/2013 7:54	07/05/2013 7:59	0.513786494	0.227172863	0.530563432	0.868018799	0.313954526
07/05/2013 7:59	07/05/2013 8:03	0.44298181	0.286452314	0.416522515	0.920929812	0.309834646
07/05/2013 8:03	07/05/2013 8:08	0.376894988	0.207149337	0.483673856	0.86489519	0.290777453
