PMF_m/z	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
145.065	0.000026564	3.02748E-05	8.34501E-05	0	0
145.087	0	0.000665173	9.36283E-05	0.000401805	0
145.102	0.000493698	0	0.000363418	0	0
145.123	0.00054427	0.000499273	4.83099E-05	0.000179713	7.24394E-05
146.037	6.86318E-05	0.000123879	0.000399536	0.000245126	3.87755E-05
146.073	0	7.49185E-05	0.000434634	3.76303E-05	0
146.094	0	0.00017669	2.08768E-05	3.70888E-05	0
146.131	8.00961E-05	0.000128616	0	4.37956E-05	0
147.008	2.61071E-05	2.02216E-06	0.000181644	7.01644E-06	4.35137E-05
147.045	0.000144662	0.000434251	0.000665103	0.000442298	0
147.066	0.000191583	0.000682089	0	0.000153891	0
147.081	0	1.98978E-06	0.000882746	5.84978E-05	0
147.117	0.00124839	0.000903159	1.89908E-05	0.000305605	0.000288256
148.016	0.000092534	4.08197E-06	0.000276503	0.000129954	9.01068E-05
148.052	0.000151746	0.000455322	0.000394704	0.000428459	4.81078E-05
148.074	4.33827E-05	0.000111505	2.30189E-05	0	0
148.089	0	4.68379E-05	0.000346829	3.27166E-05	0
148.11	2.12474E-06	7.14424E-06	2.45547E-06	2.33764E-06	1.16087E-05
148.125	0.000344446	0.000246141	7.08696E-05	9.47613E-05	0
149.045	0.000232038	0.000965919	0.000752819	0.000574057	0.0002004
149.097	0.000747495	0.000899073	0.000178552	0.000493963	0.000313774
150.032	0.000240818	0.000321725	0.000362507	0.000318512	0.000102613
150.068	0.000184918	0.000845037	0.00040669	0.000213407	0.000120772
150.105	0.000214689	0.000283092	5.53486E-05	0.000143873	9.51123E-05
151.04	0.000253099	0.00093655	0.000482089	0.000343592	0.000159455
151.076	0.000425537	0.001431047	0.000248148	0.000280395	0.000309089
151.112	0	0.000136816	0.000262295	0.000131448	1.02753E-05
151.149	0.000609118	0.000175958	0	0.000147062	2.86374E-05
152.047	0	5.14764E-05	0.000680011	0.000327286	0
152.063	0.000593465	0.001172813	0.000294062	0	0
152.084	0.000292986	0.000831991	0.000407961	0.00020005	0.000149404
