PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	OOA1	OOA2
18/06/2012 13:51	18/06/2012 14:10	0.380404447	5.748438144	5.34502641
18/06/2012 14:10	18/06/2012 14:28	0.361120924	4.906447328	5.705467404
18/06/2012 14:28	18/06/2012 14:47	0.185629629	5.591304907	4.570834464
18/06/2012 14:47	18/06/2012 15:06	0.062914935	4.159828951	3.805111664
18/06/2012 15:06	18/06/2012 15:24	0.293220373	5.260770566	5.112174061
18/06/2012 15:24	18/06/2012 15:43	0.459140575	5.179927735	4.90435519
18/06/2012 15:43	18/06/2012 16:02	0.445127434	5.649793308	4.302419259
18/06/2012 16:02	18/06/2012 16:20	0.537031894	5.435778512	4.870894594
18/06/2012 16:20	18/06/2012 16:39	0.305266067	3.620192901	1.894249921
18/06/2012 16:39	18/06/2012 17:49	0.447161636	4.014892699	2.747803442
18/06/2012 17:49	18/06/2012 18:08	0.667048944	2.250521807	4.368155915
18/06/2012 18:08	18/06/2012 18:26	2.144255966	3.112786821	3.43822388
18/06/2012 18:26	18/06/2012 18:50	1.796372692	3.617912502	3.424357029
18/06/2012 18:50	18/06/2012 19:08	1.083867228	3.263364417	2.778675022
18/06/2012 19:08	18/06/2012 19:27	1.040105041	2.526977774	2.971866074
18/06/2012 19:27	18/06/2012 19:46	1.498929413	2.299347178	2.990267853
18/06/2012 19:46	18/06/2012 20:04	1.177790139	2.394925014	3.072564847
18/06/2012 20:04	18/06/2012 20:23	1.736092737	2.535229366	2.845062341
18/06/2012 20:23	18/06/2012 20:42	2.855502426	2.359832456	3.708231784
18/06/2012 20:42	18/06/2012 21:00	2.706001047	3.262770971	2.54126576
18/06/2012 21:00	18/06/2012 21:19	2.754897672	3.181107296	3.647712811
18/06/2012 21:19	18/06/2012 21:38	2.868728155	3.911818079	3.473453767
18/06/2012 21:38	18/06/2012 21:56	2.961969632	3.951170401	3.653326633
18/06/2012 21:56	18/06/2012 22:15	3.645697188	4.007890349	4.083185797
18/06/2012 22:15	18/06/2012 22:34	3.150490493	3.275179977	5.477433975
18/06/2012 22:34	18/06/2012 22:52	1.467850678	3.107436733	5.539141478
18/06/2012 22:52	18/06/2012 23:09	1.277740153	4.458623083	4.174387875
18/06/2012 23:09	18/06/2012 23:32	0.988238264	3.795624341	4.575461173
18/06/2012 23:32	18/06/2012 23:51	0.857001672	4.694522972	3.977190912
18/06/2012 23:51	19/06/2012 0:10	1.100463922	3.720005892	4.454934408
