PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
23/10/2012 2:31	23/10/2012 2:36	0.300885176	0.341898028	0.918663875	0.807069522	2.015521268
23/10/2012 2:36	23/10/2012 2:40	0.186327616	0.391476899	0.832367191	0.846160556	2.050061154
23/10/2012 2:40	23/10/2012 2:45	0.18171584	0.350275813	1.002290813	0.868870501	1.960962714
23/10/2012 2:45	23/10/2012 2:50	0.224214692	0.408408883	0.810135923	0.735099741	2.063680434
23/10/2012 2:50	23/10/2012 2:54	0.239722031	0.373103599	0.925853923	0.774656186	1.987387394
23/10/2012 2:54	23/10/2012 2:59	0.230695235	0.368337088	0.866789571	0.777447782	1.903983921
23/10/2012 2:59	23/10/2012 3:04	0.274704921	0.326898741	0.990254163	0.744694721	1.947422712
23/10/2012 3:04	23/10/2012 3:08	0.280026796	0.341411331	1.029933646	0.747622973	1.883993367
23/10/2012 3:08	23/10/2012 3:13	0.344755453	0.35422614	0.97908532	0.74658366	1.914474583
23/10/2012 3:13	23/10/2012 3:18	0.37901578	0.37905482	0.949099145	0.806428743	1.936170957
23/10/2012 3:18	23/10/2012 3:22	0.176707497	0.351464508	0.830721985	0.839700871	1.927987128
23/10/2012 3:22	23/10/2012 3:27	0.31642913	0.321660209	1.020526992	0.761046641	1.865401525
23/10/2012 3:27	23/10/2012 3:32	0.297144472	0.32759065	0.922082905	0.680758496	1.970444384
23/10/2012 3:32	23/10/2012 3:36	0.309752581	0.274514009	1.023086841	0.683695799	1.926614241
23/10/2012 3:36	23/10/2012 3:41	0.293350364	0.276480651	1.009016936	0.710807077	1.857946826
23/10/2012 3:41	23/10/2012 3:46	0.333913981	0.316301877	0.906681598	0.782583204	1.821441364
23/10/2012 3:46	23/10/2012 3:50	0.308935185	0.280205238	0.941509384	0.682588735	1.917198703
23/10/2012 3:50	23/10/2012 3:55	0.295391653	0.253489339	0.832795252	0.744696053	1.90664222
23/10/2012 3:55	23/10/2012 4:00	0.326705986	0.300475028	0.832981461	0.752502864	1.800293018
23/10/2012 4:00	23/10/2012 4:04	0.376358583	0.290064337	0.907282608	0.699578754	1.777631748
23/10/2012 4:04	23/10/2012 4:09	0.44188967	0.24143072	0.992641265	0.716248314	1.676840726
23/10/2012 4:09	23/10/2012 4:14	0.374739657	0.253730963	0.927035525	0.699852972	1.866997369
23/10/2012 4:14	23/10/2012 4:18	0.445966916	0.211779034	0.88934249	0.679392571	1.816194939
23/10/2012 4:18	23/10/2012 4:23	0.477749906	0.219257653	1.066219544	0.663976591	1.660985859
23/10/2012 4:23	23/10/2012 4:28	0.503214857	0.231033106	0.939853768	0.653225025	1.864128359
23/10/2012 4:28	23/10/2012 4:32	0.500440638	0.250534488	0.902804059	0.755833206	1.729978636
23/10/2012 4:32	23/10/2012 4:37	0.510075269	0.230185625	0.828702164	0.68186913	1.906297404
23/10/2012 4:37	23/10/2012 4:42	0.436334424	0.201105749	0.99842932	0.75618088	1.738910983
23/10/2012 4:42	23/10/2012 4:46	0.64757111	0.220739398	0.929904915	0.678305079	1.732573999
23/10/2012 4:46	23/10/2012 4:51	0.796183783	0.199200397	0.975921393	0.756142622	1.67021084
23/10/2012 4:51	23/10/2012 4:56	1.209214601	0.123444139	1.171440334	0.631866182	1.611212626
23/10/2012 4:56	23/10/2012 5:00	1.23333266	0.125359286	1.005904931	0.684186178	1.702965597
23/10/2012 5:00	23/10/2012 5:05	1.350975329	0.185428295	0.914526964	0.641743415	1.740524561
23/10/2012 5:05	23/10/2012 5:10	1.198047894	0.134975161	0.940086403	0.670822496	1.776656611
23/10/2012 5:10	23/10/2012 5:14	1.301345699	0.11781221	0.904862318	0.650039233	1.729303063
23/10/2012 5:14	23/10/2012 5:19	1.658017243	0	1.001538712	0.775919987	1.530695033
23/10/2012 5:19	23/10/2012 5:24	1.475590213	0	1.119010139	0.718227516	1.502819713
23/10/2012 5:24	23/10/2012 5:28	1.13640177	0.106271983	0.927665154	0.642016345	1.684356312
23/10/2012 5:28	23/10/2012 5:33	0.847047267	0.146473852	1.057425249	0.67223579	1.590384882
23/10/2012 5:33	23/10/2012 5:38	0.653089531	0.214338525	0.919133254	0.703279719	1.724701918
