Time (UTC)	Time (Local)	Chl	NH4	NO3	Org	SO4
08/04/2016 13:45	08/04/2016 15:45	0.103608	0.0241607	0.0645963	0.239649	0.211344
08/04/2016 13:50	08/04/2016 15:50	0.0499794	0.0327958	0.0748152	0.332786	0.263829
08/04/2016 13:55	08/04/2016 15:55	0.0689984	0.0202148	0.0772305	0.264673	0.183259
08/04/2016 14:00	08/04/2016 16:00	0.0893365	0.0235143	0.0725305	0.257805	0.164132
08/04/2016 14:05	08/04/2016 16:05	0.0534624	0.0247353	0.0646812	0.23852	0.195276
08/04/2016 14:15	08/04/2016 16:15	0.0528424	0.0343885	0.0421726	0.196193	0.19205
08/04/2016 14:20	08/04/2016 16:20	0.0950242	0.0245971	0.0749217	0.236664	0.230009
08/04/2016 14:30	08/04/2016 16:30	0.0718285	0.0439837	0.0773902	0.217976	0.224568
08/04/2016 14:35	08/04/2016 16:35	0.0826622	0.0430115	0.0365863	0.244768	0.210578
08/04/2016 14:40	08/04/2016 16:40	0.0972762	0.0385526	0.0545112	0.189453	0.184439
08/04/2016 14:45	08/04/2016 16:45	0.109975	0.0537408	0.0722398	0.395629	0.261478
08/04/2016 14:50	08/04/2016 16:50	0.0359899	0.0403836	0.0541181	0.312998	0.226035
08/04/2016 14:55	08/04/2016 16:55	0.0965385	0.0605659	0.0939446	0.339413	0.293738
08/04/2016 15:00	08/04/2016 17:00	0.100757	0.0566995	0.0703174	0.337516	0.294862
08/04/2016 15:05	08/04/2016 17:05	0.0593977	0.0432201	0.100824	0.313889	0.307682
08/04/2016 15:15	08/04/2016 17:15	0.0933904	0.0348656	0.0993976	0.435039	0.36322
08/04/2016 15:20	08/04/2016 17:20	0.0743725	0.0232042	0.0557914	0.284758	0.221093
08/04/2016 15:25	08/04/2016 17:25	0.101997	0.0354173	0.0800418	0.318183	0.238556
08/04/2016 15:30	08/04/2016 17:30	0.105256	0.0333609	0.0519085	0.213943	0.199343
08/04/2016 15:35	08/04/2016 17:35	0.0440941	0.0281163	0.0499096	0.232941	0.224868
08/04/2016 15:40	08/04/2016 17:40	0.10997	0.0637688	0.105963	0.388706	0.359464
08/04/2016 15:45	08/04/2016 17:45	0.0619238	0.0293682	0.0691813	0.20974	0.225077
08/04/2016 15:50	08/04/2016 17:50	0.0770969	0.0321046	0.0578469	0.204182	0.196724
08/04/2016 15:55	08/04/2016 17:55	0.0627015	0.0352458	0.0600706	0.128319	0.192629
08/04/2016 16:00	08/04/2016 18:00	0.0691117	0.0427753	0.0616744	0.204662	0.226233
08/04/2016 16:10	08/04/2016 18:10	0.133948	0.0486845	0.0887161	0.317714	0.30682
08/04/2016 16:15	08/04/2016 18:15	0.0940641	0.0356137	0.0571452	0.176927	0.22091
08/04/2016 16:20	08/04/2016 18:20	0.0720167	0.0499696	0.0653835	0.250955	0.253395
08/04/2016 16:25	08/04/2016 18:25	0.0369808	0.0479137	0.0625881	0.218674	0.198194
08/04/2016 16:30	08/04/2016 18:30	0.0783132	0.0374379	0.0458952	0.167408	0.169781
08/04/2016 16:35	08/04/2016 18:35	0.0652494	0.0277007	0.0446987	0.17187	0.151668
08/04/2016 16:45	08/04/2016 18:45	0.0495872	0.0259202	0.0457662	0.152136	0.144822
08/04/2016 16:50	08/04/2016 18:50	0.044513	0.0251604	0.0487322	0.167306	0.158483
08/04/2016 16:55	08/04/2016 18:55	0.0630365	0.0336704	0.0419522	0.183779	0.17221
08/04/2016 17:00	08/04/2016 19:00	0.0656303	0.0324924	0.0656492	0.226632	0.212462
08/04/2016 17:05	08/04/2016 19:05	0.0784763	0.0357141	0.0478438	0.27467	0.224456
08/04/2016 17:10	08/04/2016 19:10	0.0274236	0.0584462	0.0781276	0.365517	0.265691
08/04/2016 17:17	08/04/2016 19:17	0.0833736	0.0497349	0.0626913	0.354193	0.31377
08/04/2016 17:22	08/04/2016 19:22	0.0447589	0.0260358	0.0334073	0.18528	0.167014
08/04/2016 17:27	08/04/2016 19:27	0.079302	0.0370166	0.0383232	0.173808	0.177617
08/04/2016 17:32	08/04/2016 19:32	0.0812565	0.0388206	0.0506037	0.24183	0.199417
08/04/2016 17:37	08/04/2016 19:37	0.0696183	0.0684042	0.0617765	0.326227	0.322485
