PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3
102.991	5.07988E-05	0.00146337	0.000118768	0.000017353	0.000212477
103.039	1.66546E-10	0.00007302	0.000185876	0.000431936	0.00042906
103.055	0.00221987	0.00185813	5.59336E-05	0.000161975	0.000656545
103.99	0.000258015	0.00123037	0.0001691	2.29829E-05	0.000303909
104.026	2.30283E-11	3.00461E-10	0.000493108	0.000332876	0.000993859
104.063	0.000605744	0.00125636	3.81133E-05	0	0.000102614
105.043	0.00007938	0	3.73671E-05	6.06484E-06	1.80784E-05
105.055	0.000414191	6.50392E-10	0	0	0
105.07	0.00814384	0.00342891	0.000135345	0.00196386	0.00023463
106.042	2.8471E-11	5.48939E-11	0.000197382	0.000549486	0.000351734
106.078	0.00185464	0.000265002	5.27611E-05	0.000454579	0.000238276
107.037	0.00018446	0.00101538	2.69157E-05	9.14775E-06	0.000112728
107.05	1.7975E-11	2.60595E-11	0.00010342	0.00075361	0.000228572
107.086	0.00513106	0.00186254	8.76916E-05	0.00110327	9.59036E-05
108	0.000166799	0.000372305	5.97853E-05	3.1785E-07	9.04047E-05
108.021	3.17383E-11	0.00014238	8.28365E-05	0.00016628	0.000109043
108.058	0.000268141	0.0011351	0.000164927	0.000705544	0.000424437
108.094	0.00142785	0.000607418	4.11571E-05	0.000397611	0.000069739
109.008	3.75925E-11	6.81087E-11	0.000040043	0.000045443	9.11027E-05
109.029	1.31919E-11	5.33536E-11	8.67345E-05	0.000340046	0.0001812
109.065	0.000108132	0.00222902	0.000142182	0.00109506	0.00026938
109.102	0.00730295	0.00105189	9.37304E-05	0.00068753	2.49491E-05
110.016	3.55264E-05	2.19319E-10	0.000131573	0.000122662	0.000155619
110.037	2.1784E-11	0.000929022	0.000066246	0.000427724	0.000255292
110.073	0.000219925	0.000481629	8.42387E-05	0.000382794	0.000168563
110.11	0.0014712	0.000317876	7.70396E-05	0.000118453	0.000117978
111.023	2.93733E-05	8.41902E-11	0.000116004	9.49279E-05	0.000134158
111.045	7.04593E-12	0.000914332	0.000162076	0.000567261	0.000383187
111.117	0.00435018	3.66004E-10	6.57623E-05	0.000115071	0.000102671
111.995	8.33412E-05	0.000272194	0.000107334	2.97874E-05	0.000181686
112.031	5.67334E-06	9.36833E-11	3.13953E-05	0.000145058	0.000217338
112.125	0.000877536	0.000112822	0.000332298	0	0.000681755
113.003	2.45858E-05	0.000517139	0.000206791	9.03573E-05	0.000257502
113.039	0.000130254	0.000644159	6.60633E-05	0.000453474	0.000378362
113.133	0.00132515	4.64154E-10	0.000290076	0	0.000514102
114.019	5.80075E-05	0.000337151	2.77777E-05	4.11682E-05	5.92864E-05
114.047	0.000135405	0.000629079	6.26799E-05	0.000142214	9.65555E-05
114.104	9.28036E-06	9.40145E-06	2.87374E-05	3.95311E-05	6.60928E-05
115.018	6.71301E-05	0.000553736	0.00025425	0.000422884	0.000243562
115.055	0.00478215	0.00375523	0.000148136	0.00164332	0.000783574
116.011	1.58681E-07	6.63697E-05	4.14375E-05	0.000040493	4.00663E-05
116.047	0.00030194	0.00504182	8.13184E-05	0.000351248	0.000118028
116.063	0.00100751	6.74235E-05	0	4.39225E-05	0.000221316
116.084	0.000231408	0.000941504	5.59516E-05	0.000135227	1.51058E-05
116.965	7.52335E-05	0.000413097	1.12379E-05	0	0.000095655
116.998	4.93228E-06	0.000607248	4.39307E-06	1.92589E-06	2.61682E-05
117.019	0	0.000698868	1.59315E-05	0.000013822	5.25961E-06
117.07	0	0.117909	0	0	0
117.092	0.000199197	0	9.33753E-05	0.000173724	0
118.027	1.72149E-05	0	9.18778E-05	0.000207663	5.46016E-05
118.063	0.000650199	0.00302957	4.93622E-05	0.000247131	0.000294922
118.998	0.00014444	0.00184573	9.00305E-05	1.82567E-05	0.00020616
119.05	1.13928E-05	0.000500352	7.16286E-06	3.51696E-05	2.43451E-05
119.086	0.00410209	0.0026175	0	0.000837493	0
120.021	1.76771E-05	7.73344E-05	5.98136E-06	5.72787E-06	8.06446E-06
120.058	0.00041931	0.00338697	7.00772E-05	0.000331592	0.000230008
120.094	0.00118782	0.00146244	3.57101E-05	0.000247612	9.49036E-05
121.004	0.000203522	0.00109163	0.000108044	0.000058163	0.000232328
121.05	0.000299237	0.000693374	7.33911E-05	3.95729E-05	3.62599E-05
121.102	0.00326351	0.00368611	4.81272E-05	0.000517731	0
122.037	0.000353841	0.00245387	0.000205489	0.000433967	0.000383316
122.11	0.000872043	0.000889283	4.45225E-05	0.00034611	0.000081895
123.045	0.000497927	0.000129312	4.04341E-05	6.65663E-05	0.000241333
123.081	0.000271561	0.00232497	4.17591E-05	0.000424527	4.54049E-05
123.117	0.00309187	0	3.97059E-05	0.00018873	3.30979E-05
124.04	3.98196E-05	0.000200732	5.70605E-06	1.03534E-05	2.34796E-05
124.052	7.96845E-05	0.000238603	4.66761E-06	0.000057464	5.73804E-05
124.089	0.000100828	0.000290136	8.43108E-06	0.000109587	2.37337E-05
124.125	0.000337757	0.000687362	8.81625E-06	1.73805E-05	2.98679E-05
124.988	2.19318E-05	0.000550365	1.28025E-05	0	1.90268E-05
125.024	0	0	6.25744E-05	0.000098435	0.000118262
125.06	0	0.000442722	7.60516E-05	0.000379	0.000136511
125.097	0.000242031	0.000215014	1.25589E-05	0.000103994	2.50596E-05
126.019	3.71733E-05	8.74338E-05	5.37105E-06	1.03857E-05	1.89273E-05
126.047	0.000106642	0.000319456	2.05716E-06	9.33864E-05	4.34087E-05
126.104	0.00010551	0.000337822	3.16963E-05	5.02257E-05	4.48009E-05
126.141	0.000354844	0.000521317	2.67202E-05	7.30757E-06	5.93435E-05
127.039	0.00011759	6.72494E-05	2.86602E-05	1.93216E-05	0.000100531
127.076	3.64938E-05	0.000569284	2.70187E-05	0.000134716	4.97878E-05
127.975	0.000071419	0.000175445	1.84286E-05	1.05769E-06	5.81521E-05
128.047	5.74935E-05	0.00220932	1.31069E-05	0.000109855	0.000146905
128.063	0.000403888	0.00333653	0	0	7.66061E-05
128.994	1.57897E-06	3.68807E-05	2.36097E-06	1.53375E-06	4.26739E-06
129.055	0.00037994	0.00161019	0	0.000053452	9.24746E-05
129.092	0.000686833	0	7.65481E-05	0.000195116	2.92675E-05
131.034	0.000369405	0.000292394	0.000133297	0.000230498	0.000222881
131.086	0.00261875	0.00166241	1.75082E-05	0.00046632	0
133.016	0.00058847	0	3.57281E-05	0.000654789	0
133.102	0.00286739	0.00341652	5.14927E-05	0.000585812	2.64721E-05
134.058	0.000767238	0.00139782	9.62596E-05	0.000398747	0.00018059
135.023	8.28106E-05	0.000754731	0.000022703	0	8.54271E-05
135.081	0.000424053	0.000868394	5.33966E-05	0.000369351	7.54146E-05
135.117	0.00175867	0.00156331	1.03379E-05	0.000182719	0
136.003	0.000027134	0.000446127	5.85065E-05	3.02525E-05	8.23038E-05
136.052	5.67952E-05	0.000312586	1.53585E-05	9.58181E-05	5.48833E-05
136.125	0.000301488	0.000702536	1.69332E-05	5.02167E-05	2.05865E-05
136.991	3.46042E-05	0.000168423	2.04589E-05	2.16293E-05	4.40717E-05
137.045	1.75348E-05	0.000295069	0.000013268	4.54968E-05	3.73666E-05
137.097	0.00028065	0.000588822	7.75799E-06	0.000181213	1.52128E-05
137.133	0.00100821	0.000587242	1.39182E-05	6.04095E-05	2.46692E-05
138.019	1.45896E-05	0	1.26247E-05	1.63427E-05	1.60588E-05
138.055	3.16743E-05	8.00711E-05	1.92995E-06	1.05449E-05	8.12468E-06
138.141	0.000216847	0.000372755	8.06597E-06	2.33518E-05	2.37687E-05
139.003	3.30742E-05	3.85908E-05	4.80629E-05	0.00002531	4.44915E-05
139.055	7.13804E-05	0	2.37585E-06	7.23856E-06	1.41375E-05
139.112	0.000215159	0.000395053	8.05208E-06	7.39091E-05	1.88408E-05
140.035	0.000036443	0.00014604	7.56888E-06	2.14686E-05	2.10248E-05
140.084	4.05444E-05	2.69689E-06	4.53356E-06	2.01808E-05	6.70633E-06
141.019	2.05673E-05	0.000103338	5.01084E-05	2.97253E-05	7.05198E-05
141.07	0.000143789	0.000633324	0	1.06719E-05	3.30445E-05
141.092	0.000333301	0	6.69278E-05	0.000172147	7.3365E-06
141.164	0.000434543	0.0002573	3.17941E-05	4.13982E-05	0.000064393
142.027	9.83478E-06	0	3.97805E-06	6.02511E-06	3.65453E-06
142.087	5.30237E-05	0.000174069	0	0.000010041	9.29847E-06
142.099	0.000050309	0.000125254	8.42104E-06	2.18752E-05	1.02098E-05
143.034	2.02143E-06	0	7.0144E-06	1.17201E-05	7.23871E-06
143.058	8.59622E-06	2.95561E-05	3.16731E-06	5.00584E-06	7.0332E-06
143.086	6.84682E-05	0.000173934	2.88352E-06	3.11009E-06	1.07853E-05
143.107	0.000312066	0	1.67736E-05	6.56731E-05	0
144.042	1.74753E-05	4.02287E-05	3.76064E-07	4.81973E-06	3.40371E-06
144.094	1.87935E-05	0.000161859	1.08458E-07	3.98836E-06	2.63598E-06
144.115	3.62776E-05	4.41771E-05	3.9073E-06	1.05748E-05	4.61508E-06
145.029	1.47418E-05	0	3.49125E-05	6.28142E-05	6.23986E-05
145.05	3.1895E-06	0.000136785	7.31698E-06	1.09676E-05	6.21556E-06
145.11	3.12552E-05	0.000158344	3.79743E-06	6.5924E-06	3.86686E-06
145.123	0.000327455	2.24736E-05	3.10531E-06	4.77552E-05	0
146.021	2.25142E-05	0.000307296	3.72024E-05	3.96924E-05	5.02316E-05
146.073	2.21513E-05	0.000139621	3.94949E-06	7.50413E-06	1.73918E-06
146.131	8.18267E-05	6.15561E-05	7.00488E-06	2.41485E-05	5.05391E-06
147.029	0.000157522	0.00127224	0.00007926	0.000120917	0.000161529
147.053	8.36325E-06	6.55758E-05	2.30331E-06	3.89516E-07	8.44603E-06
147.117	0.0010726	0.000859648	8.65235E-06	0.000161246	0
148.016	9.31367E-05	0.000355399	9.97794E-05	5.37179E-05	0.00016539
148.074	2.47028E-05	2.16313E-05	4.93751E-06	1.13975E-05	1.03866E-05
148.125	0.000131225	0.000857271	1.12979E-05	3.20628E-05	9.51725E-06
150.019	6.36907E-05	0.00147195	0	0	0.000486405
150.105	0.000404131	0.000292963	6.84819E-05	6.43886E-05	0.000104743
