PMF Time (UTC)	PMF Time (Local)	HOA	BBOA	OOA1	OOA2	OOA3
08/04/2016 17:00	08/04/2016 19:00	0.032698508	0.009198811	0.035373803	0	0.350272486
08/04/2016 17:05	08/04/2016 19:05	0.014872971	0.014763976	0.008357382	0.065186741	0.25271165
08/04/2016 17:10	08/04/2016 19:10	0.03004764	0.000659608	0.01417252	0	0.33493611
08/04/2016 17:17	08/04/2016 19:17	0.03419029	0.000902772	0.016932439	0.084940753	0.275981915
08/04/2016 17:22	08/04/2016 19:22	0.051752984	0.004400309	0.055714071	0	0.310718749
08/04/2016 17:27	08/04/2016 19:27	0.042636297	0.006724107	0	0	0.345082745
08/04/2016 17:32	08/04/2016 19:32	0.017119715	0.001157275	0.009196283	0.014790403	0.390507617
08/04/2016 17:37	08/04/2016 19:37	0.03137886	0.005123544	0.032075968	0.036032055	0.315682787
08/04/2016 17:42	08/04/2016 19:42	0.016056626	0.001743741	0.051732128	0.065521438	0.253107344
08/04/2016 17:47	08/04/2016 19:47	0.025043748	0.000986738	0.045990272	0.080153992	0.213886448
08/04/2016 17:52	08/04/2016 19:52	0.033463755	0.000952838	0.044958181	0.008358268	0.330894883
08/04/2016 17:57	08/04/2016 19:57	0.029758798	0.001415782	0.027456199	0.119714585	0.236149621
08/04/2016 18:02	08/04/2016 20:02	0.038661924	0.000629007	0.026873799	0.059142328	0.281630204
08/04/2016 18:07	08/04/2016 20:07	0.040164135	0.000421877	0.023468112	0.014149135	0.314162863
08/04/2016 18:12	08/04/2016 20:12	0.044038655	0	0.031574564	0	0.351978115
08/04/2016 18:17	08/04/2016 20:17	0.042445878	0.00023048	0.036703022	0	0.326186547
08/04/2016 18:22	08/04/2016 20:22	0.063675959	0.000591542	0.053509324	0.035731213	0.304691908
08/04/2016 18:32	08/04/2016 20:32	0.032398094	0.001591978	0.062742863	0	0.291069732
08/04/2016 18:37	08/04/2016 20:37	0.031790696	0.000838591	0.029837365	0	0.35401087
08/04/2016 18:42	08/04/2016 20:42	0.030526759	0.000440585	0.022093467	0.03368603	0.309120258
08/04/2016 18:47	08/04/2016 20:47	0.025249737	0.000755384	0.038102095	0.063857378	0.291535423
08/04/2016 18:52	08/04/2016 20:52	0.036766019	0.02365696	0.051028734	0	0.301634918
08/04/2016 18:57	08/04/2016 20:57	0.019946717	0.000724192	0.062059897	0.046466534	0.260002714
08/04/2016 19:02	08/04/2016 21:02	0.024748477	0.000771483	0.019846579	0.063388688	0.25416872
08/04/2016 19:07	08/04/2016 21:07	0.030560472	0.001574193	0.020856529	0.088584428	0.22870285
08/04/2016 19:12	08/04/2016 21:12	0.032379952	0.000506668	0.025193169	0	0.292148249
08/04/2016 19:17	08/04/2016 21:17	0.020221275	0.019397316	0.039235752	0	0.275454798
08/04/2016 19:22	08/04/2016 21:22	0.007061833	0	0.018473076	0.085122458	0.235039676
08/04/2016 19:27	08/04/2016 21:27	0.022649296	0.002485819	0.032516231	0.074621412	0.232821216
08/04/2016 19:32	08/04/2016 21:32	0.03711443	0.021088088	0.0028632	0.012686823	0.295002392
08/04/2016 19:37	08/04/2016 21:37	0.031227439	0.001826337	0.033220767	0.052050826	0.262895426
08/04/2016 19:42	08/04/2016 21:42	0.032549515	0	0.037311991	0.097913961	0.177993957
08/04/2016 19:47	08/04/2016 21:47	0.013816238	0.016437892	0.046024699	0.102279743	0.212373667
08/04/2016 19:52	08/04/2016 21:52	0.033248909	0.000135917	0.041515924	0	0.316218474
08/04/2016 19:57	08/04/2016 21:57	0.02290714	0	0.034990679	0.04787632	0.311788696
08/04/2016 20:02	08/04/2016 22:02	0.025291164	0.018640211	0.047209497	0	0.292722506
08/04/2016 20:07	08/04/2016 22:07	0.026279257	0.008318284	0.049546951	0	0.277354703
08/04/2016 20:12	08/04/2016 22:12	0.009583564	9.01578E-05	0.069183112	0.082611869	0.252811645
08/04/2016 20:17	08/04/2016 22:17	0.044815759	5.45277E-05	0.042445306	0	0.309547379
08/04/2016 20:27	08/04/2016 22:27	0.024725192	0.002477733	0.049283107	0.040793817	0.276804731
08/04/2016 20:32	08/04/2016 22:32	0.02437821	0.00085237	0.024887327	0.073105487	0.281745912
08/04/2016 20:37	08/04/2016 22:37	0.030388195	0.002743877	0.029366103	0.007042762	0.309547379
08/04/2016 20:42	08/04/2016 22:42	0.018554644	0.000409564	0.027868607	0.069251252	0.275199097
08/04/2016 20:47	08/04/2016 22:47	0.016797303	0.002153221	0.04702522	0.038533359	0.289719799
08/04/2016 20:52	08/04/2016 22:52	0.020547544	0.001336815	0.04345197	0.046981079	0.234753976
08/04/2016 20:57	08/04/2016 22:57	0.031356861	0.000320685	0.039628876	0	0.334648981
