PMF_m/z	OOAa	OOAb	OOAc
142.136	3.78224E-06	1.92478E-09	1.02338E-05
142.172	1.27226E-06	7.09017E-07	6.14121E-06
143.034	3.66668E-05	0.000187653	5.42326E-05
143.086	9.55798E-05	0.000085822	5.86512E-06
143.107	8.53077E-05	2.09774E-11	4.90091E-05
144.115	1.78101E-05	2.57171E-10	0.000014374
145.014	3.14384E-06	1.68534E-05	2.04896E-05
145.05	1.85086E-05	0.000095316	0.000017412
145.087	7.68666E-05	6.59359E-05	2.59112E-05
145.123	3.84029E-05	2.27581E-11	2.85462E-05
146.058	3.34717E-05	6.60396E-05	2.91964E-05
146.073	6.41745E-05	5.73837E-05	0.00002323
146.109	1.69346E-05	3.47849E-06	1.20888E-05
147.008	5.96044E-06	1.68917E-05	3.69011E-05
147.045	2.85563E-05	0.000119819	1.41141E-05
147.066	4.15231E-05	2.22594E-05	0.000104494
147.117	0.000108691	3.78411E-05	3.66956E-05
148.016	8.1349E-06	2.70853E-05	4.43398E-05
148.089	4.10689E-05	2.65459E-05	6.21069E-06
148.11	1.79426E-05	1.64539E-05	0.000012607
149.009	8.9857E-10	2.44343E-06	2.3152E-06
149.097	0.000201649	0.000101047	2.75399E-05
150.016	1.84504E-05	3.51733E-05	0.000079555
150.068	5.79206E-05	5.71564E-05	3.97385E-05
150.105	9.03551E-05	3.55667E-05	3.09074E-05
151.024	6.77668E-06	3.55849E-05	3.66009E-05
151.112	8.51273E-05	2.49252E-05	2.07808E-05
152.047	2.04988E-05	0.000246145	8.11615E-05
152.063	6.90764E-05	5.26499E-05	3.65073E-05
152.084	0.000196333	0.0000576	0.000102935
152.12	1.91765E-05	1.69202E-06	1.75028E-05
153.07	0.000114478	5.77172E-05	6.76176E-05
153.092	0.000153791	2.41553E-05	4.01508E-05
154.027	1.03502E-05	5.93756E-05	3.87201E-05
154.063	4.63911E-05	0.000161209	0.000049545
154.099	7.94658E-05	4.1987E-06	3.19376E-05
154.172	4.93463E-06	1.29738E-06	1.48333E-05
155.034	6.34781E-05	0.000263993	0.000161342
155.086	0.000287031	9.19047E-05	7.96863E-05
155.18	1.30845E-05	4.25169E-09	1.45574E-05
155.969	8.78961E-07	4.40415E-06	5.93128E-06
156.042	3.62271E-05	0.00012177	7.44847E-05
156.094	0.000103084	2.17329E-05	3.99285E-05
156.188	3.43547E-06	3.71133E-09	8.22983E-06
157.014	1.94685E-06	2.99582E-05	2.06457E-05
157.065	3.09309E-05	2.16562E-05	2.48271E-05
157.087	4.84642E-06	2.38535E-05	0.000013355
159.045	3.15898E-06	5.1195E-06	1.33594E-05
159.066	8.55132E-05	0.000137704	3.53083E-05
159.117	5.49716E-05	4.72503E-11	1.41161E-05
160.089	9.07796E-05	0.000106835	9.36322E-05
161.06	7.44357E-05	0.000183935	0.000142284
161.133	4.77067E-05	1.67767E-05	1.19819E-05
162.089	7.75267E-05	5.78027E-05	4.49522E-05
163.978	3.4146E-06	4.39575E-06	1.27064E-05
164.063	8.72781E-05	0.000151453	0.000128843
164.156	1.84296E-06	9.43351E-07	6.76122E-06
165.04	4.05681E-05	0.000135124	0.000143547
166.078	0.000129871	0.00014686	0.000139203
167.034	3.25679E-05	0.000163466	0.000184616
167.086	0.000188112	0.000180411	0.000197227
168.042	2.86437E-05	0.000112126	0.000112407
168.094	0.00010039	7.53167E-05	9.18876E-05
168.993	7.2917E-07	1.34617E-05	0.000014538
169.05	6.67131E-05	0.00022717	0.00017166
169.196	5.73265E-06	6.4261E-10	9.66365E-06
170	4.83122E-06	2.93393E-05	2.52171E-05
170.109	5.02133E-05	4.67194E-06	2.32091E-05
170.203	2.10657E-06	6.97947E-07	6.23706E-06
171.029	2.01505E-05	9.55947E-05	6.48794E-05
171.117	6.79565E-05	1.02575E-06	2.90161E-05
173.097	4.37886E-05	2.92856E-05	1.23327E-05
173.133	4.08593E-05	0.000015094	1.78139E-05
174.032	1.89451E-05	6.95008E-05	5.32199E-05
174.089	5.7864E-05	7.13813E-05	7.16858E-05
175.024	1.31999E-05	5.45476E-05	6.01147E-05
175.076	7.66351E-05	0.000101857	0.000101164
175.149	3.99556E-05	1.56372E-05	1.64667E-05
176.063	7.7479E-05	0.000115748	0.000121565
176.156	2.38948E-05	6.21905E-06	1.97758E-05
177.019	5.16431E-05	0.000102598	0.000144652
179.086	0.000122293	0.000162193	0.000155019
180.094	7.26363E-05	8.90277E-05	0.000104911
181.087	6.67824E-05	0.000202889	0.000147744
185.097	7.58155E-05	0.000122237	0.000113783
