PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
159.029	1.79878E-05	7.26699E-05	8.22325E-05	9.37505E-05	5.78578E-05
159.066	2.40636E-05	0.000230938	0.00054683	0.000178651	0.000128663
159.102	0	0.000121608	0.000285053	5.45905E-05	4.82118E-05
159.117	0.000947728	0.000234624	0.000326203	8.36417E-05	2.34337E-05
160.016	5.69489E-06	3.22929E-05	1.63102E-05	4.89946E-05	2.87279E-05
160.052	4.18476E-05	0.000171224	0.000372091	0.000135416	0.000106759
160.089	3.07946E-05	0.00012364	0.000307737	7.21544E-05	6.00503E-05
160.125	0.000257025	7.12195E-05	0.000106826	1.93269E-05	1.18907E-05
161.024	4.35491E-06	4.65183E-05	3.06685E-05	6.24542E-05	2.22511E-05
161.039	5.51724E-05	0.000111233	0.000213042	4.50458E-05	6.94702E-05
161.069	7.51549E-05	0.000225913	0.000623366	0.000125053	6.88241E-05
161.097	2.02335E-06	0.000133284	0.000275046	8.49283E-05	8.19406E-05
161.133	0.000808641	0.00020498	0.000294823	8.08282E-05	0.000036923
162.016	4.40373E-06	0.000035661	1.65795E-05	4.88638E-05	3.51395E-05
162.047	4.98262E-05	0.000196527	0.000461127	0.000140689	0.000110939
162.089	4.45697E-05	0.000155538	0.000401344	0.000100608	6.84071E-05
162.141	0.000255505	7.13701E-05	9.67917E-05	3.38879E-05	1.84469E-05
163.024	0.000019183	0.00013358	0.000237191	0.000150551	7.42329E-05
163.061	6.76435E-05	0.000272139	0.00070367	0.000114187	0.000148357
163.076	4.75805E-05	0.000109275	0.000200613	6.15522E-05	2.82678E-05
163.112	0	9.78293E-05	0.000210927	7.39429E-05	5.98111E-05
163.149	0.000624476	0.000118171	9.53799E-05	3.77703E-05	1.49814E-05
164.011	0.000004739	6.71992E-05	8.90212E-05	8.28358E-05	5.53931E-05
164.063	6.71095E-05	0.000241913	0.000594656	0.000173313	0.000114003
164.084	2.69203E-05	6.71142E-05	0.000190134	1.49031E-05	0
164.12	1.28546E-05	6.09978E-05	0.000143217	0.0000404	2.75955E-05
164.156	0.000175724	2.88924E-05	1.20959E-05	9.99007E-06	6.47386E-07
165.04	8.58392E-06	0.000167307	0.000256627	0.00021893	9.77168E-05
165.07	0.000483193	0.000479022	0.00145096	0.000175512	4.39575E-05
165.092	0.000251238	0.000250485	0.000576544	0.000149964	7.62284E-05
165.128	1.09421E-05	6.98671E-05	0.000158033	5.14638E-05	1.52356E-05
