PMF_m/z	HOA	OOA1	OOA2
115.055	0.0031398	0.00173592	0.00073185
115.076	0	0.000250226	0.000495326
115.108	2.79797E-06	1.78463E-06	2.00311E-06
115.993	0	2.83942E-06	2.02309E-05
116.047	0	0.000210548	0.000289336
116.063	0.00104553	0.000449632	0.000178548
117.019	0	6.97757E-05	0.000109499
117.034	1.81223E-05	0.000082202	1.73379E-05
117.055	0	0.000032919	0.000436466
117.07	0.00242058	0.00093046	0.000286639
117.092	0	7.22732E-05	0.000201761
118.027	0	4.02053E-05	0.000124534
118.042	7.22929E-05	0.000232642	0.000153065
118.063	0.000349546	0.00022127	0.000148223
118.078	0	0.000101198	9.88955E-05
119.034	0.000171949	6.19613E-05	3.99685E-05
119.05	0	0.000353134	0.00022235
119.086	0.00398192	0.000735674	0.000576227
120.021	0.000117083	8.27901E-05	0.000159828
120.042	0	2.30302E-05	5.7077E-05
120.058	0.000436782	0.000394802	0.000313361
120.094	0.00109571	0.000283512	0.000232854
121.029	0.000295562	0.000303705	0.000447308
121.065	0.000538101	0.000953954	0.000558066
121.102	0.00290053	0.000521665	0.00036217
122	0	3.38012E-06	1.64055E-05
122.021	0	1.48357E-05	9.73975E-05
122.037	0	0.000336311	0.000278217
122.073	0.00019211	0.00049611	0.000244844
122.11	0.000761389	0.000145717	0.000123961
123.008	0	5.94368E-05	0.000206238
123.045	0.000265034	0.000692146	0.000625275
123.081	0.000455121	0.000799266	0.000490503
123.117	0.00261669	0.000177032	0.000256651
124.016	5.10187E-05	8.93953E-05	0.000139918
124.037	0	0.000021812	0.000111943
124.052	8.66333E-05	0.000565403	0.000320239
124.089	0.00026218	0.000288083	0.00021962
124.125	0.00060208	3.24619E-05	5.22243E-05
125.024	0.000103812	0.000334811	0.000501735
125.06	0.000127048	0.001075	0.000532342
125.097	0.000489404	0.000379079	0.000264596
125.133	0.00093481	0	4.60359E-05
126.032	0	0.000251846	0.000377797
126.068	7.57073E-05	0.000442521	0.000259874
126.104	0	8.64878E-05	8.89096E-05
126.141	0.000219683	7.08949E-06	2.77704E-05
127.039	0	0.000634786	0.000830446
127.076	8.25219E-05	0.000707949	0.000352557
127.112	0.000468973	6.70402E-05	8.32009E-05
128.011	0	4.4135E-06	3.34789E-05
128.035	0	0.000054968	0.000169601
128.047	0	0.000176482	0.000190766
128.063	0	1.54908E-05	2.78465E-05
129.019	0.000230841	0.000145326	0.000265315
129.034	0	9.70757E-05	5.57363E-05
129.043	0	1.06399E-05	2.37071E-05
129.07	0.00156615	0.000599759	0.000231596
129.092	0	0.000149877	0.000230991
130.027	0.000049909	5.85887E-05	0.000127216
130.063	0	7.22012E-05	6.81007E-05
130.078	0.00120739	0.000289023	0.000228446
131.034	0.000100627	0.000181913	0.000374424
131.086	0.00254638	0.000474586	0.000375876
132.021	1.96457E-05	4.15326E-05	7.25286E-05
132.042	0	1.31934E-05	2.43353E-05
132.057	0	0.000332281	0.000295237
132.094	0.000780289	0.000156939	0.000114593
133.014	0	3.63816E-05	0.000100753
133.065	0.000792678	0.000392932	0.000477353
133.102	0.00229468	0.000339692	0.00025719
134.016	0	2.39674E-05	8.62113E-05
134.037	0	7.84843E-05	8.76605E-05
134.058	2.92517E-05	4.11475E-05	0.000142897
134.073	0.000252104	0.000222831	0.000156999
134.109	0	0.000114571	0.000171158
135.045	0	0.000337782	0.000302894
135.081	0.00037116	0.000490529	0.000333619
135.117	0.00155583	0.000181373	0.000176507
136.016	0	5.52921E-05	0.000145476
136.052	0.00014713	0.000319168	0.000272885
136.089	0.000190688	0.000224071	0.000147653
136.125	0.000376178	4.48732E-05	5.71254E-05
137.024	7.21247E-05	0.000136765	0.000276834
137.045	0	2.54256E-05	6.55612E-05
137.06	0.000109521	0.000526956	0.00026086
137.097	0.00027514	0.000293433	0.000238288
137.133	0.00104613	5.06472E-05	6.54775E-05
138.032	0	0.000145427	0.000271272
138.047	5.89701E-06	3.80529E-05	4.26373E-05
138.068	5.02505E-10	0.000250356	0.000154439
138.105	0.000154902	9.67656E-05	9.91695E-05
138.141	0	1.86554E-05	4.8264E-05
139.003	0	1.91155E-05	0.000105647
139.04	0	0.000474606	0.00058094
139.076	5.76501E-10	0.000490129	0.000274421
139.112	0.000137565	0.000133734	9.86777E-05
139.149	0.000237501	1.45957E-05	1.33059E-05
140.011	1.03181E-05	2.35003E-05	5.15207E-05
140.035	0	0.000038367	8.7283E-05
140.047	2.30861E-05	9.12926E-05	9.80256E-05
140.063	0	0.000144416	0.000100123
140.084	2.44542E-05	0.000112931	7.00153E-05
140.12	0	2.93694E-05	3.35665E-05
140.156	0	0	3.0137E-05
141.019	3.19639E-05	4.68705E-05	9.4173E-05
141.055	0	0.000394072	0.000320058
141.07	0	0.000281431	0.000168861
141.092	0.000522777	0.000313487	0.000230499
141.164	0	0.000010957	5.42097E-05
142.027	0	3.75728E-05	8.03859E-05
142.042	0	0.000044015	5.19578E-05
142.063	1.05925E-05	8.02886E-05	0.000104791
142.078	0.000546704	0.000181203	7.66257E-05
142.099	2.85977E-05	4.48062E-05	7.60524E-05
142.172	1.39628E-05	1.59619E-06	2.78751E-06
143.034	7.28568E-06	0.000149377	0.000218259
143.05	0	6.33916E-05	4.82645E-05
143.071	0.000028803	4.10605E-05	0.000120657
143.086	0	0.000239754	0.000168854
143.107	0.000248598	6.85895E-05	0.000104883
144.021	0	1.20642E-05	3.8941E-05
144.079	0.000160481	9.14007E-05	6.87377E-05
144.094	0	0.000054683	7.25708E-05
144.115	0	1.23102E-05	3.25552E-05
144.151	0	2.62158E-06	6.47326E-06
145.014	0	1.76592E-05	3.45512E-05
145.065	0	0.000192165	0.000174994
145.087	0	7.57868E-05	0.000136632
145.102	0	0.000082468	0.000146915
145.123	0	3.63616E-05	0.000104111
146.037	0.00008453	9.11266E-05	0.000153442
146.058	0	4.81378E-05	4.18602E-05
146.073	6.69245E-05	0.000104619	8.34483E-05
146.094	2.93248E-05	5.25956E-05	8.10727E-05
146.131	2.12802E-05	1.23933E-05	1.96378E-05
147.008	0	2.07508E-05	7.20599E-05
147.029	6.07569E-05	1.43906E-05	1.81236E-05
147.045	0	9.52694E-05	9.19923E-05
147.066	0.000169775	0.000222611	0.000144582
147.117	0.00116712	0.000150777	0.000150295
148.016	7.62671E-05	5.66503E-05	0.000111933
148.052	0	0.00016391	0.000167479
148.074	0	5.19475E-05	6.61392E-05
148.11	1.39708E-05	5.18504E-05	2.26226E-05
149.045	4.58015E-05	0.000340812	0.000201333
149.097	0.000960991	0.000343023	0.00028897
150.032	0	6.47078E-05	0.000210089
150.053	0.000163826	0.000118302	6.82668E-05
150.105	0.000327732	0.000130834	9.95946E-05
151.04	0.000169865	8.83141E-05	0.00017537
151.055	0	0.000148047	0.000105859
151.076	0.000220084	0.000297064	0.000137826
151.112	0	0.000112641	0.000113273
151.149	0.000412725	1.47227E-05	2.77017E-05
152.014	0	2.00297E-05	5.13796E-05
152.047	6.64708E-05	0.000100478	0.000176234
152.084	0.000139758	0.000127853	0.000142161
152.12	0	3.38212E-05	5.73754E-05
153.019	1.89276E-05	4.30688E-05	0.000128793
153.055	0	0.0003853	0.000346468
153.092	0	0.000333951	0.000238305
153.164	0.000178489	2.83272E-05	2.64824E-05
154.027	0	3.80339E-05	8.86375E-05
154.05	0	3.51234E-05	6.3628E-05
154.063	1.63505E-05	8.86452E-05	4.14171E-05
154.078	0	0.000100028	7.42779E-05
154.099	0.000146559	8.34702E-05	7.61818E-05
154.172	0	7.80672E-06	2.08428E-05
155.022	0	0	4.73713E-05
155.034	0.00	0.00	0.00
155.071	0	3.67677E-06	6.08524E-06
155.086	0.0014069	0.000395532	0.000296999
155.18	0	1.22972E-05	5.66558E-05
156.042	7.82082E-05	0.000123803	0.000143623
156.079	7.02848E-06	5.06982E-05	3.51003E-05
156.094	0.000573125	0.000128593	9.9786E-05
157.05	8.08223E-05	0.000197336	0.000219821
157.102	0.00113487	0.000187664	0.000117052
158.037	2.41437E-05	3.80129E-05	6.47571E-05
158.073	0.000349446	0.000160189	0.000152767
159.045	0	0.000112551	0.000155231
159.066	0.000220825	0.000119492	7.64866E-05
159.117	0.000869769	6.07601E-05	9.00619E-05
160.016	0	1.50267E-05	4.48058E-05
160.052	0.000105104	9.01964E-05	0.000101204
160.074	0	5.21035E-05	5.82814E-05
160.089	4.74431E-05	0.00003824	2.56495E-05
160.125	0	2.32622E-05	4.56679E-05
161.024	0	0.000033096	8.96784E-05
161.039	0	1.23903E-05	8.86469E-06
161.06	0	3.23689E-05	1.87805E-05
161.097	0.000352881	0.000113221	0.000121679
161.133	0	7.94665E-05	0.000134344
162.032	4.59167E-05	4.48362E-05	0.000123351
162.068	2.85967E-05	7.58208E-05	5.85961E-05
162.089	0	5.08023E-05	4.31519E-05
162.105	0	2.92493E-05	4.59728E-05
162.141	0.00019847	2.40624E-05	1.56228E-05
163.04	0.000158598	0.000141256	0.000233911
163.055	8.37108E-06	6.89756E-06	0
163.076	0	0.000171141	0.000101395
163.112	6.49074E-05	8.64738E-05	0.000119876
163.149	0.000449202	3.21819E-05	2.84943E-05
164.011	0	2.06648E-05	5.04682E-05
164.047	0	4.67155E-05	8.28968E-05
164.063	4.69584E-05	6.63891E-05	7.63467E-05
164.084	7.58074E-05	7.40695E-05	6.23947E-05
164.12	0	3.43323E-05	4.26273E-05
164.156	0	1.05949E-05	1.90775E-05
165.019	4.18133E-05	5.82366E-05	8.88414E-05
165.04	0	1.59879E-05	7.12007E-05
165.07	0.000880255	0.000298594	0.000230804
165.092	0.00020457	0.000161049	0.000113471
165.128	4.58977E-05	2.82001E-05	6.72189E-05
166.027	0	2.62618E-05	3.93324E-05
166.048	0	0	3.61589E-05
166.078	0.000590833	0.000254196	0.000178545
166.172	0.000108169	2.41684E-05	1.99163E-05
167.034	0	7.97825E-05	0.000162969
167.071	0	0.00021819	0.000167999
167.107	0.000341954	0.000158849	0.000101205
168.042	0.000111554	0.000117921	0.000129102
