PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
27/09/2013 18:24	27/09/2013 18:29	0.201828222	0.185058667	1.072331111	1.258186667	0.566295556
27/09/2013 18:29	27/09/2013 18:33	0.29536	0.194806	1.031151111	1.18936	0.559
27/09/2013 18:33	27/09/2013 18:38	0.234442222	0.195326889	1.125502222	1.317384444	0.500462222
27/09/2013 18:38	27/09/2013 18:43	0.240715556	0.150470444	1.099082222	1.13232	0.621486667
27/09/2013 18:43	27/09/2013 18:47	0.252084444	0.159984	1.024744444	1.180042222	0.50248
27/09/2013 18:47	27/09/2013 18:52	0.227255556	0.10278	1.072773333	1.166255556	0.519686667
27/09/2013 18:52	27/09/2013 18:57	0.341862222	0.070873778	1.123197778	1.236215556	0.509553333
27/09/2013 18:57	27/09/2013 19:01	0.277471111	0.103345111	0.991122222	1.180175556	0.546648889
27/09/2013 19:01	27/09/2013 19:06	0.274691111	0.12084	1.080264444	1.067317778	0.487777778
27/09/2013 19:06	27/09/2013 19:11	0.261117778	0.133715111	1.076231111	1.085464444	0.571817778
27/09/2013 19:11	27/09/2013 19:15	0.301746667	0.019141778	1.019868889	1.273664444	0.49086
27/09/2013 19:15	27/09/2013 19:20	0.238602222	0.089933556	1.054555556	1.086464444	0.5037
27/09/2013 19:20	27/09/2013 19:25	0.30268	0.183156	1.142855556	1.102008889	0.448153333
27/09/2013 19:25	27/09/2013 19:29	0.327533333	0.110622444	1.067144444	1.188337778	0.436246667
27/09/2013 19:29	27/09/2013 19:34	0.371453333	0.140445111	1.053602222	1.117286667	0.492524444
27/09/2013 19:34	27/09/2013 19:39	0.370673333	0.079517333	1.424004444	0.931908889	0.521237778
27/09/2013 19:39	27/09/2013 19:43	0.398262222	0.033244	1.13532	1.116128889	0.559222222
27/09/2013 19:43	27/09/2013 19:48	0.299631111	0.132337778	1.099037778	1.114306667	0.459773333
27/09/2013 19:48	27/09/2013 19:53	0.361975556	0.128311556	1.130022222	1.084506667	0.498266667
27/09/2013 19:53	27/09/2013 19:57	0.252842222	0.098848889	1.109611111	1.053997778	0.53186
27/09/2013 19:57	27/09/2013 20:02	0.319477778	0.088790222	1.022217778	1.124935556	0.473077778
27/09/2013 20:02	27/09/2013 20:07	0.363042222	0.122724889	1.108102222	1.109391111	0.46514
27/09/2013 20:07	27/09/2013 20:11	0.394324444	0.111189778	1.185522222	1.099384444	0.483277778
27/09/2013 20:11	27/09/2013 20:16	0.409477778	0	1.3623	1.089844444	0.553035556
27/09/2013 20:16	27/09/2013 20:21	0.365466667	0.042779333	1.305626667	1.115684444	0.509886667
27/09/2013 20:21	27/09/2013 20:25	0.300611111	0.091187333	1.168166667	1.160606667	0.490837778
27/09/2013 20:25	27/09/2013 20:30	0.271753333	0.113889111	1.193811111	1.107946667	0.504231111
27/09/2013 20:30	27/09/2013 20:35	0.255688889	0.110108222	1.049591111	1.12616	0.510395556
27/09/2013 20:35	27/09/2013 20:39	0.255755556	0.094180444	1.026828889	1.150755556	0.498797778
27/09/2013 20:39	27/09/2013 20:44	0.23028	0.154101556	0.969755556	1.103364444	0.554455556
27/09/2013 20:44	27/09/2013 20:49	0.216559556	0.148113111	0.986135556	1.150844444	0.504586667
27/09/2013 20:49	27/09/2013 20:53	0.235486667	0.084309333	1.041722222	1.146928889	0.474297778
27/09/2013 20:53	27/09/2013 20:58	0.212850667	0.128900889	0.998348889	1.084262222	0.554211111
27/09/2013 20:58	27/09/2013 21:03	0.228144444	0.149223333	1.033322222	1.07192	0.55268
27/09/2013 21:03	27/09/2013 21:07	0.225786667	0.071390222	1.124991111	1.019304444	0.560642222
27/09/2013 21:07	27/09/2013 21:12	0.239468889	0.091319778	0.954531111	1.222451111	0.488642222
27/09/2013 21:12	27/09/2013 21:17	0.199309556	0.091867111	1.130288889	1.067495556	0.521726667
27/09/2013 21:17	27/09/2013 21:21	0.337833333	0.026880222	0.893402222	1.199744444	0.571195556
27/09/2013 21:21	27/09/2013 21:26	0.228366667	0.073317111	1.066635556	1.052573333	0.501526667
27/09/2013 21:26	27/09/2013 21:31	0.27044	0.089677556	1.054997778	1.091402222	0.439904444
27/09/2013 21:31	27/09/2013 21:35	0.243586667	0.092196	1.099215556	1.027688889	0.442366667
27/09/2013 21:35	27/09/2013 21:40	0.161465778	0.099870667	0.910246667	1.066784444	0.558002222
27/09/2013 21:40	27/09/2013 21:45	0.219879111	0.091072444	1.016411111	1.084173333	0.500551111
27/09/2013 21:45	27/09/2013 21:49	0.207786667	0.156377111	0.905724444	1.111437778	0.547935556
27/09/2013 21:49	27/09/2013 21:54	0.172212222	0.004267333	0.942251111	1.137344444	0.559997778
27/09/2013 21:54	27/09/2013 21:59	0.109117556	0.011321378	0.845217778	1.168877778	0.555231111
27/09/2013 21:59	27/09/2013 22:03	0.10841	0.007151156	0.751111111	1.272908889	0.550575556
27/09/2013 22:03	27/09/2013 22:08	0.064870222	0.074323556	0.738608889	1.156557778	0.576028889
27/09/2013 22:08	27/09/2013 22:13	0.084845556	0.024096889	0.828528889	1.082751111	0.567248889
27/09/2013 22:13	27/09/2013 22:17	0.081744	0.07173	0.694593333	1.136344444	0.539066667
27/09/2013 22:17	27/09/2013 22:22	0.122553778	0.028356889	0.73872	1.208728889	0.553568889
27/09/2013 22:22	27/09/2013 22:27	0.095267333	0	0.712257778	1.234726667	0.611264444
27/09/2013 22:27	27/09/2013 22:31	0.114535111	0.040188	0.879948889	1.110393333	0.593193333
27/09/2013 22:31	27/09/2013 22:36	0.106692222	0	0.823828889	1.233213333	0.542635556
27/09/2013 22:36	27/09/2013 22:41	0.167562	0.065944889	0.827508889	1.139657778	0.569333333
27/09/2013 22:41	27/09/2013 22:45	0.180893778	0.032555333	0.915764444	1.12418	0.544764444
27/09/2013 22:45	27/09/2013 22:50	0.209784667	0.087529778	0.970575556	1.074011111	0.541373333
27/09/2013 22:50	27/09/2013 22:55	0.118575556	0.121539556	0.820993333	1.068051111	0.537846667
27/09/2013 22:55	27/09/2013 22:59	0.111046444	0.082340444	0.790228889	1.123046667	0.516315556
27/09/2013 22:59	27/09/2013 23:07	0.112365778	0.087739556	0.82148	1.131986667	0.513588889
27/09/2013 23:07	27/09/2013 23:11	0.055016	0.030577556	0.810442222	1.124668889	0.623037778
27/09/2013 23:11	27/09/2013 23:16	0.081530444	0.039556667	0.851666667	1.15776	0.557626667
27/09/2013 23:16	27/09/2013 23:21	0.163833111	0.049032667	0.912197778	1.100051111	0.575453333
27/09/2013 23:21	27/09/2013 23:25	0.109157556	0.126219111	1.007744444	1.033182222	0.51268
27/09/2013 23:25	27/09/2013 23:30	0.087259778	0.072213556	0.835842222	1.202146667	0.568135556
27/09/2013 23:30	27/09/2013 23:35	0.070815111	0.113337333	0.883737778	1.076457778	0.54696
27/09/2013 23:35	27/09/2013 23:39	0.130628222	0.074453778	0.902622222	1.137433333	0.540528889
27/09/2013 23:39	27/09/2013 23:44	0.160945111	0.116277556	0.91674	1.11464	0.492524444
27/09/2013 23:44	27/09/2013 23:49	0.115492	0.121872889	0.874806667	1.138813333	0.507602222
27/09/2013 23:49	27/09/2013 23:53	0.125041333	0.118879778	0.934693333	1.101097778	0.533191111
27/09/2013 23:53	27/09/2013 23:58	0.092316889	0.098016667	0.865386667	1.243822222	0.583457778
27/09/2013 23:58	28/09/2013 0:03	0.143550444	0.102248	0.959384444	1.105922222	0.6204
28/09/2013 0:03	28/09/2013 0:07	0.164958889	0.139498222	0.9874	1.134408889	0.585964444
28/09/2013 0:07	28/09/2013 0:12	0.141092	0.083766444	0.974344444	1.2301	0.584366667
28/09/2013 0:12	28/09/2013 0:17	0.147457556	0.101082667	1.147908889	1.062868889	0.609313333
28/09/2013 0:17	28/09/2013 0:21	0.2558	0.196693333	1.137071111	1.095515556	0.550862222
28/09/2013 0:21	28/09/2013 0:26	0.110405778	0.136732444	1.201213333	1.139435556	0.612815556
28/09/2013 0:26	28/09/2013 0:31	0.172158667	0.115873556	1.216064444	1.177462222	0.533566667
28/09/2013 0:31	28/09/2013 0:40	0.2556	0.229977778	1.30576	1.082484444	0.526382222
28/09/2013 0:40	28/09/2013 0:45	0.165230222	0.183354667	1.133746667	1.231277778	0.563966667
28/09/2013 0:45	28/09/2013 0:49	0.190385333	0.236046667	1.106751111	1.300595556	0.484164444
28/09/2013 0:49	28/09/2013 0:54	0.194296889	0.15794	1.292417778	1.052395556	0.564233333
28/09/2013 0:54	28/09/2013 0:59	0.155531778	0.163193333	1.171204444	1.214622222	0.493986667
28/09/2013 0:59	28/09/2013 1:03	0.141105333	0.154057333	1.198553333	1.094871111	0.567935556
28/09/2013 1:03	28/09/2013 1:08	0.156904667	0.136288667	1.079291111	1.143593333	0.543124444
28/09/2013 1:08	28/09/2013 1:13	0.291466667	0.137856	1.071733333	1.097204444	0.583835556
28/09/2013 1:13	28/09/2013 1:17	0.244453333	0.159443111	1.142168889	1.055242222	0.480106667
28/09/2013 1:17	28/09/2013 1:22	0.176419556	0.114202667	0.993671111	1.10054	0.507068889
28/09/2013 1:22	28/09/2013 1:27	0.147326222	0.052069778	1.05788	1.049637778	0.492191111
28/09/2013 1:27	28/09/2013 1:31	0.110459111	0.134286667	0.963751111	1.06058	0.567404444
28/09/2013 1:31	28/09/2013 1:36	0.158951556	0.069165333	1.037666667	1.008697778	0.540353333
28/09/2013 1:36	28/09/2013 1:41	0.146271556	0.154291333	0.884026667	1.080437778	0.514942222
28/09/2013 1:41	28/09/2013 1:45	0.192112	0.046222667	0.985115556	1.058377778	0.526826667
28/09/2013 1:45	28/09/2013 1:50	0.060335778	0.104839333	0.964326667	0.972626667	0.586651111
28/09/2013 1:50	28/09/2013 1:55	0.063272667	0.064598444	0.850093333	1.101897778	0.4933
28/09/2013 1:55	28/09/2013 1:59	0.057706	0.116178222	1.004177778	0.923682222	0.509064444
28/09/2013 1:59	28/09/2013 2:04	0.059726222	0.110620222	0.835311111	1.027444444	0.546406667
28/09/2013 2:04	28/09/2013 2:09	0.104218222	0.094237778	0.86614	1.078635556	0.456202222
28/09/2013 2:09	28/09/2013 2:13	0.032938	0.012692756	0.992917778	0.954415556	0.670046667
28/09/2013 2:13	28/09/2013 2:18	0.090125333	0.090436889	0.805788889	1.118242222	0.500771111
28/09/2013 2:18	28/09/2013 2:23	0.040008667	0.069758889	0.89728	1.061202222	0.551351111
28/09/2013 2:23	28/09/2013 2:27	0.166182667	0.065593778	0.927046667	0.980388889	0.538688889
