PMF_m/z	HOA	BBOA	OOA1	OOA2	OOA3_BB-aq
103.018	1.53503E-09	0.00031976	1.32779E-05	0.000431072	0.000138652
103.055	0.00132528	0.0026771	0.00156521	0.00133565	0.000536089
104.026	2.08506E-11	0.000796464	0.000226926	0.00089634	0.000152603
104.063	0.00145173	0.00129027	0.000982511	0.000677746	0.000175954
105.034	2.83035E-12	0.00147089	0.000436757	0.00115997	0.00041739
105.07	0.00754419	0.00391784	0.0028932	0.00151072	0.00137931
106.042	8.59321E-12	0.000982847	0.000503152	0.000451717	0.000183761
106.078	0.00156089	0.000896497	0.000732615	0.000443243	0.000240625
107.05	5.42498E-12	0.00221489	0.00105758	0.000974194	0.000474515
107.086	0.00527556	0.00254682	0.00207495	0.00091036	0.00112906
108	0	0	5.24628E-06	7.10413E-07	4.23113E-06
108.021	8.62118E-11	0.000510492	9.08557E-05	0.000225289	0.00021562
108.058	0.000121482	0.000909766	0.000894681	0.000865961	0.000253793
108.094	0.00125447	0.000615367	0.00063956	0.000248363	0.00032993
109.029	1.19444E-11	0.00119644	0.000371386	0.000703687	0.000368524
109.065	3.26352E-05	0.00103717	0.00158366	0.00132675	0.000988877
109.102	0.00865583	0.00221348	0.00145101	0.000546769	0.00131447
110.037	1.97239E-11	0.00116554	0.000724864	0.00103676	0.000236065
110.073	8.42292E-05	0.000530023	0.000724955	0.000526424	0.000243581
110.11	0.00111384	0.000361319	0.000229573	5.27913E-05	0.000162344
111.023	2.65955E-05	3.98086E-05	0	0	0.000152022
111.045	1.91386E-11	0.00134303	0.00154185	0.00208481	0.00065569
111.081	0.000287899	0.000467462	0.00132618	0.000567365	0.000778097
111.117	0.00494956	0.000694539	0.000101697	0.000198708	0.000421058
112.016	9.57032E-11	0.000114993	9.85118E-05	0.000282788	0.000243611
112.052	4.95006E-11	0.000641996	0.000682142	0.000903535	0.000207472
112.089	4.81063E-05	0.000231456	0.000332183	0.000121673	0.000106322
112.125	0.00068813	0.00013684	2.59522E-05	0	0.000171985
113.024	2.1332E-11	4.04348E-05	0.000389914	0.000864662	0.000378836
113.039	6.73977E-05	0.00129058	0	2.77572E-05	2.23016E-05
113.06	7.98765E-11	0.000735605	0.00105287	0.00109512	0.000205999
113.097	6.40308E-05	0.000168704	0.000313113	8.97079E-05	0.000221924
113.133	0.00131799	0.000116956	0	4.36558E-05	9.02508E-05
114.032	2.83884E-11	0.000102831	0.00011406	0.000444133	6.81155E-05
114.047	4.08671E-05	0.000869384	4.08062E-05	8.85278E-05	5.8236E-06
114.068	1.09357E-10	0.000313689	0.000363144	0.000386964	5.02486E-05
114.104	8.40274E-06	2.47292E-05	3.02946E-05	1.83949E-06	6.10331E-06
114.141	6.92205E-06	2.20704E-07	6.6219E-06	1.52211E-06	5.19804E-06
115.003	3.49503E-10	0.00011901	0	0	0.000237849
115.039	6.19174E-12	0	0.000011424	0.00000462	1.61332E-05
115.055	0.00256067	0.00501894	0.00162347	0.00214597	0.000699155
115.076	0.000342991	0.000933525	0.00124898	2.76922E-05	0.000197431
115.112	0	0	9.84406E-06	1.79032E-06	7.78217E-06
116.026	0	0.000198817	0	8.55399E-05	0.000100229
116.047	0	1.53905E-05	0.000033888	1.61275E-05	0
116.063	0.00108727	0.00174352	0.000573607	0.000637894	0.000151651
116.084	0	7.67429E-05	0.00018285	0	0
117.034	0	0.000345704	0	0.000291592	0.000126957
117.055	0	0	5.86742E-06	0	0
117.07	0.00320599	0.00242208	0.00116687	0.000986156	0.000439759
117.092	0.000391312	0.000351151	0.000522723	0	0.000114931
118.042	0.000100757	0.000775121	0.000275073	0.000494577	0.000221493
118.063	0	0.000123087	0.000014451	0	0
118.078	0.00154392	0.000841044	0.000620992	0.000306101	0.000245024
118.998	0	4.86158E-06	2.56775E-05	1.15517E-05	2.92778E-05
119.05	0	0.00122483	0.000500284	0.000552296	0.000351266
119.086	0.00511925	0.00219395	0.00132318	0.000627612	0.000744233
120.021	0.000124997	0.000250927	2.03194E-05	0.000274334	0.00019238
120.058	5.29354E-05	0.00108419	0.000557455	0.000511824	5.69652E-05
120.094	0.0014749	0.000738837	0.000529591	0.000247373	0.000202371
121.029	0.000341084	0.00106778	0.000137381	0.000591258	0.000251308
121.065	0	0.00141461	0.000839766	0.000741171	0.000276272
121.102	0.00339675	0.00161838	0.00111042	0.000345513	0.00054092
122.037	6.33437E-05	0.00123742	0.000270781	0.000557022	0.000113127
122.073	4.47833E-05	0.00084787	0.000633504	0.000463919	0.000145838
122.11	0.000920626	0.000426568	0.000347423	0.00009237	0.000163196
123.008	0	2.22768E-05	0	0.000116837	0.000221112
123.045	9.26359E-05	0.0017699	0.000483631	0.000718247	0.000134122
123.081	0	0.000711714	0.000884033	0.000558921	0.000421439
123.117	0.00389085	0.000880751	0.000448629	0.000160236	0.000539948
124.016	1.41248E-05	0.000167969	2.47891E-05	0.000174375	0.000144345
124.052	5.91168E-06	0.00100777	0.000451356	0.000608126	6.71174E-05
124.089	0	0.000384042	0.000442924	0.000186307	0.000159047
124.125	0.000836938	0.000234949	0.000123013	2.48722E-05	0.000125955
125.024	3.61798E-05	0.000442001	0.000206934	0.000540584	0.000136688
125.06	0.000203861	0.000956117	0.000720022	0.00103256	0.000184142
125.097	0	0.000323827	0.000664005	0.000191423	0.000295104
125.133	0.00156769	0.000230328	4.34111E-05	6.37834E-05	0.000137851
126.032	0	1.54489E-05	3.63034E-05	0.000247313	0.000204787
126.047	8.30596E-05	0.00135249	0	2.28747E-05	0
126.068	0.000117936	0.00039419	0.00038067	0.000407129	0.000112966
126.104	0	0.000110724	0.000159629	0	0.000109429
126.141	0.000414864	7.10325E-05	2.09621E-05	2.07332E-05	0.00003303
127.039	0	2.52729E-06	8.25439E-06	0.000524046	0.000229741
127.055	0.000616917	0.00203015	0.000345989	0.000482276	0
127.076	7.97716E-05	0.000570988	0.000615266	0.000340097	0.000228789
127.112	9.84349E-05	0.000121245	0.000196346	4.04091E-05	0.0001011
127.149	0.000633557	7.06751E-05	3.63846E-06	2.30615E-05	3.87265E-05
128.047	0	0	0	1.38881E-05	3.23014E-05
128.063	0.00183186	0.00295003	0.000735683	0.000777205	0.000248081
128.084	0.000310481	0.000574009	0.000749509	8.62214E-05	0.000172727
129.034	0.00006306	0.000477953	0.000103753	0.000514393	0.00025701
129.07	0.00205	0.00239661	0.00073845	0.00072787	0.000368514
129.092	0.000378878	0.000597285	0.000669349	1.58946E-05	8.15859E-05
130.042	2.67933E-05	0.000505689	9.77558E-05	0.000318972	0.000122106
130.078	0.00125776	0.00112124	0.000667123	0.000352668	0.000102413
131.05	0	0.00148226	0.000344475	0.000566435	0.000193472
131.086	0.00257616	0.00180574	0.00101647	0.000430093	0.000281153
