PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	COA	BBOA	OOA1	OOA2	OOA3
13/05/2014 21:47	13/05/2014 23:47	0.2286157	0.19375031	0.014641579	0.8447128	0.05692468	0.4846168
13/05/2014 21:52	13/05/2014 23:52	0.20264514	0.16596315	0.05266249	0.8114715	0.04805341	0.5187726
13/05/2014 21:56	13/05/2014 23:56	0.15522041	0.3453121	0.023686821	0.7857849	0	0.5698265
13/05/2014 22:01	14/05/2014 0:01	0.24617193	0.2522532	0.014266045	0.8843215	0.06654925	0.5185122
13/05/2014 22:06	14/05/2014 0:06	0.27719425	0.3944161	0.023693021	0.7067566	0	0.6385194
13/05/2014 22:10	14/05/2014 0:10	0.26360323	0.3129016	0.05221237	0.8047507	0	0.5796101
13/05/2014 22:15	14/05/2014 0:15	0.25100514	0.19860429	0.028869649	0.9348329	0	0.4812936
13/05/2014 22:20	14/05/2014 0:20	0.2320536	0.19993264	0.05500516	0.7635145	0.006124608	0.6128328
13/05/2014 22:24	14/05/2014 0:24	0.21240549	0.3371219	0.018846078	0.7797275	0	0.596874
13/05/2014 22:29	14/05/2014 0:29	0.3259712	0.12944608	0.03285752	1.0640781	0	0.4267181
13/05/2014 22:34	14/05/2014 0:34	0.3253202	0.25192956	0.06875862	0.7618281	0.009192027	0.5856799
13/05/2014 22:38	14/05/2014 0:38	0.344341044	0.313560776	0.018261347	0.773575016	0.030805982	0.597617802
13/05/2014 22:43	14/05/2014 0:43	0.328789689	0.296889275	0.063968102	0.824674509	0	0.567514087
13/05/2014 22:48	14/05/2014 0:48	0.3045316	0.333033	0.06491617	0.7568278	0	0.6275857
13/05/2014 22:52	14/05/2014 0:52	0.29967204	0.377146	0.04882872	0.7221419	0.018159397	0.681628
13/05/2014 22:57	14/05/2014 0:57	0.3233982	0.23420004	0.0566246	0.8301087	0.006004607	0.605926
13/05/2014 23:02	14/05/2014 1:02	0.20790987	0.3538123	0.0500433	0.6773252	0.10232666	0.6984207
13/05/2014 23:04	14/05/2014 1:04	0.1936539	0.28500501	0.04387523	0.7887268	0.13929013	0.5033749
13/05/2014 23:09	14/05/2014 1:09	0.1547241	0.2481488	0.07058855	0.755904	0	0.6016883
13/05/2014 23:14	14/05/2014 1:14	0.10778018	0.3201928	0.016711821	0.773326	0.013241464	0.5969267
13/05/2014 23:18	14/05/2014 1:18	0.13503693	0.21406864	0.030875845	0.8044531	0.03979284	0.5835874
13/05/2014 23:23	14/05/2014 1:23	0.26087492	0.24857443	0.07804157	0.6749785	0	0.6524353
13/05/2014 23:28	14/05/2014 1:28	0.14781947	0.25886147	0.020827505	0.7200711	0.014271842	0.6445892
13/05/2014 23:32	14/05/2014 1:32	0.10701076	0.29544519	0.008655634	0.7138835	0	0.5930052
13/05/2014 23:37	14/05/2014 1:37	0.1863441	0.21255305	0.010243733	0.746883	0	0.5595221
13/05/2014 23:42	14/05/2014 1:42	0.21409468	0.27132843	0.010418914	0.7522026	0	0.5349856
13/05/2014 23:46	14/05/2014 1:46	0.21205984	0.29057416	0.001303324	0.6731712	0.05953891	0.5997539
13/05/2014 23:51	14/05/2014 1:51	0.16151155	0.21418799	0.024989441	0.7214506	0	0.5448219
13/05/2014 23:56	14/05/2014 1:56	0.16563827	0.30133798	0.04497821	0.6548006	0.14783094	0.4144545
14/05/2014 0:00	14/05/2014 2:00	0.09817576	0.26357936	0.05954976	0.709807	0	0.4981917
