PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
16/02/2014 1:20	16/02/2014 1:24	0.584385369	3.106269912	0.651489815	1.331278835	1.580431147
16/02/2014 1:24	16/02/2014 1:29	0.544359686	2.766342498	0.494866279	2.11976644	1.128158657
16/02/2014 1:29	16/02/2014 1:34	0.504519904	2.646956065	0.549908328	1.733906056	1.476724576
16/02/2014 1:34	16/02/2014 1:38	0.51812485	2.617424459	0.486603159	1.696519905	1.536562127
16/02/2014 1:38	16/02/2014 1:43	0.451585599	2.585726701	0.466453014	1.812826295	1.381432208
16/02/2014 1:43	16/02/2014 1:48	0.436688207	2.517061358	0.534237189	1.750989952	1.519568484
16/02/2014 1:48	16/02/2014 1:52	0.488584806	2.726307434	0.360045532	1.856281255	1.225372
16/02/2014 1:52	16/02/2014 1:57	0.379445663	2.487685743	0.335499103	1.702157527	1.48297667
16/02/2014 1:57	16/02/2014 2:02	0.375623566	2.341398034	0.600545395	1.581998768	1.541140531
16/02/2014 2:02	16/02/2014 2:06	0.371991505	2.257296963	0.377772082	2.059531504	1.258986083
16/02/2014 2:06	16/02/2014 2:11	0.533630799	2.359640477	0.344941877	1.933640736	1.261087257
16/02/2014 2:11	16/02/2014 2:16	0.45499072	2.263415265	0.342996182	1.757605098	1.533147677
16/02/2014 2:16	16/02/2014 2:20	0.343851471	2.077207076	0.403066927	2.057273454	1.364454803
16/02/2014 2:20	16/02/2014 2:25	0.36334416	2.341540499	0.456463354	1.805489403	1.174747332
16/02/2014 2:25	16/02/2014 2:30	0.344594406	2.098672653	0.358108003	2.197868932	1.288612823
16/02/2014 2:30	16/02/2014 2:34	0.44124818	2.01607533	0.353117713	2.122994494	1.446409051
16/02/2014 2:34	16/02/2014 2:39	0.374123852	1.730537574	0.366513579	2.540303559	1.128301818
16/02/2014 2:39	16/02/2014 2:44	0.437053789	1.970179023	0.327380059	2.255176316	1.178191752
16/02/2014 2:44	16/02/2014 2:48	0.329259283	2.214071608	0.282976138	1.829809626	1.454437579
16/02/2014 2:48	16/02/2014 2:53	0.326605438	1.969027359	0.295254344	2.129089002	1.336793408
16/02/2014 2:53	16/02/2014 2:58	0.383051513	2.12187249	0.221455387	1.773249446	1.487132487
16/02/2014 2:58	16/02/2014 3:02	0.375210366	1.929948146	0.338718513	2.032144152	1.454041085
