PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq
17/11/2011 22:36	17/11/2011 22:41	3.605475872	6.356371521	0.162299405	1.4143E-06
17/11/2011 22:41	17/11/2011 22:45	3.641753224	6.061384961	5.74799E-07	0.019691949
17/11/2011 22:45	17/11/2011 22:50	3.494153233	6.28943358	0.12138881	1.64117E-06
17/11/2011 22:50	17/11/2011 22:55	4.251857012	6.82239942	1.47477E-07	1.8436E-07
17/11/2011 22:55	17/11/2011 22:59	4.071185919	6.522278002	5.75742E-07	1.69187E-07
17/11/2011 22:59	17/11/2011 23:07	3.741399632	6.314365531	0.098224215	1.08416E-06
17/11/2011 23:07	17/11/2011 23:11	3.448382858	6.319789005	4.04886E-07	1.73006E-07
17/11/2011 23:11	17/11/2011 23:16	3.349051367	6.460759635	1.32405E-06	8.67662E-07
17/11/2011 23:16	17/11/2011 23:21	3.331722909	6.302026358	0.099903786	4.65543E-07
17/11/2011 23:21	17/11/2011 23:25	3.343838402	6.560516996	0.14420547	9.78331E-07
17/11/2011 23:25	17/11/2011 23:30	3.645633193	6.432846931	0.150563571	6.1781E-07
17/11/2011 23:30	17/11/2011 23:35	3.601735881	6.636418082	5.09119E-06	0.012430721
17/11/2011 23:35	17/11/2011 23:39	3.742796708	6.966383293	9.05245E-07	6.86252E-07
17/11/2011 23:39	17/11/2011 23:44	3.834174835	6.433602585	0.17662755	1.29051E-06
17/11/2011 23:44	17/11/2011 23:49	3.625529099	5.988788001	0.143943137	1.32615E-06
17/11/2011 23:49	17/11/2011 23:53	3.654300451	6.31573261	0.067947773	8.23888E-07
17/11/2011 23:53	17/11/2011 23:58	3.74113848	6.439455438	0.025811645	5.62429E-07
17/11/2011 23:58	18/11/2011 0:03	3.830625473	5.985882917	0.23802995	1.34232E-06
18/11/2011 0:03	18/11/2011 0:07	3.910780355	6.399150733	0.027886254	3.18199E-07
18/11/2011 0:07	18/11/2011 0:12	4.023741532	6.337183752	0.223293021	7.12257E-07
18/11/2011 0:12	18/11/2011 0:17	3.693974872	6.187105282	0.14362803	1.66382E-06
18/11/2011 0:17	18/11/2011 0:21	3.614807896	6.493091508	0.233627808	4.0455E-07
18/11/2011 0:21	18/11/2011 0:26	3.590072814	6.334483862	0.190539806	4.89644E-07
18/11/2011 0:26	18/11/2011 0:31	3.596110733	6.495741722	0.291375841	3.31549E-07
18/11/2011 0:31	18/11/2011 0:35	3.686064801	6.352016291	0.29769277	6.35175E-07
18/11/2011 0:35	18/11/2011 0:40	3.598600972	6.298365873	0.256589453	3.17706E-07
18/11/2011 0:40	18/11/2011 0:45	3.668546737	6.849534259	1.18004E-06	3.95531E-07
18/11/2011 0:45	18/11/2011 0:49	3.664301429	6.636286254	0.074656192	9.3252E-07
18/11/2011 0:49	18/11/2011 0:54	3.663045861	6.609823428	0.334389903	6.24477E-07
18/11/2011 0:54	18/11/2011 0:59	3.859095966	6.660002712	0.348439603	7.21562E-07
18/11/2011 0:59	18/11/2011 1:03	4.158115769	6.984148969	0.074307394	7.66208E-07
18/11/2011 1:03	18/11/2011 1:08	3.816477771	7.423534418	0.061231685	5.03264E-07
18/11/2011 1:08	18/11/2011 1:13	4.118265092	7.195433829	0.144186649	5.8949E-07
18/11/2011 1:13	18/11/2011 1:17	4.242012796	7.456731061	7.76175E-07	6.65809E-07
18/11/2011 1:17	18/11/2011 1:22	3.878543006	7.159055736	7.53181E-07	6.42134E-07
18/11/2011 1:22	18/11/2011 1:27	3.621831671	7.293124381	7.60617E-06	3.63182E-07
18/11/2011 1:27	18/11/2011 1:31	4.167275405	6.899577622	7.53268E-07	3.55431E-07
18/11/2011 1:31	18/11/2011 1:36	4.016433359	6.893608875	0.120711562	5.22252E-07
18/11/2011 1:36	18/11/2011 1:41	3.666622391	7.271075289	1.00742E-06	3.61326E-07
18/11/2011 1:41	18/11/2011 1:45	4.104033316	7.413734331	8.73057E-07	8.79131E-07
18/11/2011 1:45	18/11/2011 1:50	4.02336425	7.310633648	3.92917E-07	2.42513E-07
18/11/2011 1:50	18/11/2011 1:55	3.903828918	7.295800584	0.038222044	2.00694E-06
18/11/2011 1:55	18/11/2011 1:59	4.04118808	7.276393159	1.98731E-06	4.73368E-07
18/11/2011 1:59	18/11/2011 2:04	4.014413089	7.336002724	3.80289E-07	2.44122E-07
18/11/2011 2:04	18/11/2011 2:09	3.898802409	7.273117884	3.45755E-07	2.88782E-07
18/11/2011 2:09	18/11/2011 2:13	3.97022683	7.157199962	8.26526E-07	4.90243E-07
18/11/2011 2:13	18/11/2011 2:18	3.49371136	7.270860935	0.043962604	4.7943E-07
18/11/2011 2:18	18/11/2011 2:23	3.723110658	7.256657754	0.004145598	9.0221E-07
18/11/2011 2:23	18/11/2011 2:27	3.614808614	7.189911794	1.16887E-06	2.74315E-07
18/11/2011 2:27	18/11/2011 2:32	3.364445268	7.156078954	2.81459E-07	2.02011E-07
