PMF_m/z	HOA	BBOA	OOA1_BB	OOA2_BB-aq
89.0391	0.00125419	0.003019164	0.00174568	0.00129172
89.0922	5.25681E-06	5.89003E-06	7.6592E-06	8.06845E-07
90.0106	3.99997E-06	3.91265E-06	2.65975E-06	7.1055E-10
90.0425	9.52728E-05	0.00022886	0.000131868	9.78248E-05
90.047	0.000366247	0.001069424	0.000879048	0.00069512
90.0681	7.77799E-06	1.24338E-05	1.08858E-05	9.65809E-11
91.0139	3.38591E-07	4.86978E-07	4.15819E-07	4.59213E-08
91.0503	2.83485E-05	8.09812E-05	6.64477E-05	5.28041E-05
91.0548	0.0126321	0.01135199	0.00483026	0.0057867
92.0262	0.000124031	0.000687235	0.000636453	0.000503171
92.0581	0.000957236	0.000861415	0.000370186	0.00043068
92.0626	0.00150801	0.001083685	0.000542477	0.000580992
93.0296	7.70426E-06	4.51952E-05	4.15428E-05	0.000032293
93.034	0.000184754	0.001094523	0.000815855	0.000774456
93.0704	0.0104713	0.004231437	0.00218349	0.00359227
93.9377	8.51659E-06	2.94604E-06	1.51618E-05	5.05986E-06
94.0266	2.68028E-06	0.000238132	0.000255139	0.000162697
94.0374	1.10628E-05	7.20859E-05	5.30403E-05	4.95387E-05
94.0419	0.00061341	0.002477281	0.000792479	0.000769711
94.0738	0.000800203	0.000318032	0.000167918	0.000268842
94.0782	0.00227196	0.000936675	0.000586013	0.00072002
95.0133	3.60616E-05	0.001484306	0.000909281	0.000853379
95.0452	4.07226E-05	0.000160618	5.15074E-05	0.000049817
95.0497	0.000875218	0.002905308	0.00211142	0.00271625
95.0816	0.000172552	7.0873E-05	4.46427E-05	5.44336E-05
95.0861	0.0206172	0.003594879	0.00237846	0.00411854
96	3.16241E-05	2.93971E-05	0.000135461	0.000208066
96.0211	9.62152E-05	0.001376518	0.00128307	0.00109229
96.053	5.66843E-05	0.000189345	0.000137187	0.000175431
96.0575	0.000410742	0.001142126	0.000909233	0.00104201
96.0894	0.00165366	0.000232648	0.000177061	0.000331211
96.0939	0.00253132	0.000818284	0.000294782	0.000422315
97.0034	3.13562E-06	2.69103E-06	1.18417E-05	0.000018061
97.0078	1.60121E-11	1.39109E-11	6.67267E-05	0.000492263
97.029	0.000110687	0.001936604	0.00208443	0.00244127
97.0609	2.73372E-05	7.40121E-05	5.91746E-05	6.77709E-05
97.0653	0.000844598	0.001499293	0.00120285	0.00184991
97.0973	0.000191842	6.22215E-05	2.23447E-05	3.17484E-05
97.1017	0.0169202	0.001485957	0.00145079	0.00180856
98.0112	7.95191E-10	4.99718E-10	9.70918E-06	4.44033E-05
98.0156	0.000175071	0.000415057	0.000279067	1.5392E-10
98.0368	0.000178998	0.001098703	0.00136757	0.00156605
98.0687	5.44611E-05	9.79836E-05	0.000078278	0.000119493
98.0732	0.000604949	0.001273433	0.000478904	0.000470102
98.1051	0.00132357	9.34897E-05	0.000109537	0.000145175
98.1096	0.00079587	0.00018532	8.76721E-05	5.02508E-11
98.9404	8.96106E-06	7.26956E-10	1.09902E-05	0.000052789
99.0082	1.37039E-09	0.000189221	0.00109875	0.00136391
99.019	1.46037E-05	3.66174E-05	2.47943E-05	6.44016E-10
99.0235	0.000311142	0.00037088	0.000530189	0.000271102
99.0446	0.000363388	0.001037192	0.0019517	0.00202888
99.0765	4.04403E-05	8.32531E-05	3.11852E-05	2.98114E-05
99.081	0.000268099	0.000337542	0.000313244	0.000417618
99.1129	6.14559E-05	1.43302E-05	7.28164E-06	7.81443E-11
99.1174	0.00243037	9.99334E-05	0.000172372	0.000170378
100.016	4.79692E-11	0.000130174	0.000468695	0.000525599
100.027	2.76223E-05	3.22495E-05	4.54535E-05	2.43332E-05
100.031	0.000330156	0.000512404	0.000300068	0.000256592
100.052	6.66402E-11	0.000307011	0.000521024	0.000494986
100.084	1.80476E-05	2.20505E-05	2.05841E-05	2.71533E-05
100.089	8.01766E-05	5.5627E-05	5.65006E-09	8.23136E-11
100.121	0.000184394	7.22831E-06	1.37643E-05	1.29056E-05
100.125	2.09106E-05	3.8588E-05	2.06959E-05	2.20201E-11
101.003	0.000015108	8.30757E-06	1.17485E-06	3.86525E-10
101.024	9.61342E-05	0.000482464	0.00154899	0.00159615
101.035	2.90248E-05	4.4309E-05	2.66907E-05	2.20139E-05
101.039	0.00091459	0.000532011	3.69889E-11	3.91961E-11
101.06	0.000113821	0.0003382	0.000793064	0.00110778
101.092	1.76057E-05	6.22943E-06	2.02314E-06	2.09543E-10
101.097	2.64094E-10	3.80221E-05	0.00023519	0.00045039
101.129	1.46938E-05	3.28583E-06	2.35373E-06	2.73115E-11
102.006	1.67957E-06	8.97108E-07	4.09216E-07	1.26654E-09
102.011	1.82066E-10	2.23289E-11	0.000173855	0.000100065
102.043	6.59665E-05	6.58619E-05	9.30892E-12	8.32354E-12
102.047	0.000679527	0.001759787	0.00105193	0.000695443
102.1	2.41659E-09	7.70871E-07	2.34144E-05	2.69944E-05
103.014	9.73357E-07	1.18247E-09	1.51307E-05	8.78405E-06
103.039	0.000244293	0.000604624	0.000259403	0.00028114
103.05	5.91118E-05	0.000152391	9.05855E-05	6.04966E-05
103.055	0.00139372	0.002390798	0.00106985	0.00107948
104.026	0.000120168	0.00034267	0.000857516	0.00101521
104.047	0.000274644	0.000469853	0.000153344	6.66498E-05
104.058	0.000120746	0.000206929	0.00009261	9.33503E-05
104.063	0.000969749	0.001011696	0.000537462	0.000428627
105.03	1.09797E-05	2.56144E-05	6.49346E-05	7.71713E-05
105.034	0.000431009	0.001297999	0.00149534	0.00143454
105.066	8.42068E-05	8.76513E-05	4.66545E-05	3.69215E-05
105.07	0.00911308	0.004480065	0.00141661	0.00228724
106.037	3.30081E-05	9.85268E-05	0.00011306	0.000108585
106.042	0.000134562	0.000958212	0.000590281	0.000457097
106.063	0.000353982	0.000183262	2.22447E-10	5.53043E-10
106.074	0.000791607	0.000387756	0.000123002	0.000196662
106.078	0.00134511	0.000553988	0.000383908	0.000351529
107.013	3.8092E-11	0.00011256	0.000241346	0.000137965
107.045	1.03066E-05	7.27372E-05	4.48289E-05	3.44438E-05
107.05	0.000808413	0.002542363	0.00085798	0.00120047
107.082	0.000116713	4.78412E-05	3.33346E-05	3.03246E-05
107.086	0.00642624	0.002355522	0.000897167	0.00175987
108.021	0.000078061	0.000528852	0.000442339	0.000367917
108.053	6.23026E-05	0.000192676	6.46243E-05	9.08594E-05
108.058	0.000372068	0.001128939	0.000651357	0.000681768
108.089	0.000571876	0.000196897	7.80168E-05	0.000154177
108.094	0.00132027	0.00043354	0.000193571	0.000332792
109.029	3.59522E-10	0.001119925	0.000922402	0.000847187
109.061	2.93177E-05	8.54567E-05	4.91954E-05	5.16409E-05
109.065	0.000720152	0.001421952	0.00102767	0.00142906
109.097	0.000114748	3.75234E-05	1.68395E-05	2.88519E-05
109.102	0.0103791	0.001351977	0.00106719	0.00180375
110.016	7.81867E-05	0.000151389	0.00020552	0.000220616
110.037	0.000167397	0.001242202	0.00077124	0.000772237
110.069	5.39466E-05	0.000108053	8.04767E-05	0.000106848
110.073	0.000232444	0.000519712	0.000313466	0.000417474
110.105	0.000960334	9.07117E-05	8.96811E-05	0.000169781
110.11	0.000859642	0.000256036	6.59182E-05	0.000119817
111.019	7.72871E-06	1.52869E-05	2.10311E-05	2.08386E-05
111.023	0.000245355	0.000248744	0.000447618	0.000439078
111.045	0.000203956	0.000820234	0.00129563	0.0016092
111.076	1.81201E-05	3.93856E-05	0.000024003	3.17208E-05
111.081	0.000467665	0.00073796	0.000459334	0.000755075
111.113	7.44482E-05	2.23904E-05	5.76364E-06	1.05115E-05
111.117	0.00557046	0.000232947	0.000420393	0.00057267
112.027	2.39299E-05	2.55364E-05	4.17007E-05	4.48153E-05
112.031	0.000217946	0.000334976	0.000187975	0.00015387
112.052	4.47687E-05	0.000331812	0.000456412	0.000651095
112.084	3.58522E-05	5.59369E-05	0.000034991	5.71498E-05
112.089	0.000140833	0.000232896	9.97892E-05	0.000122857
112.121	0.000507267	9.04091E-06	3.60097E-05	5.46349E-05
112.125	0.000376373	0.000114472	6.57925E-05	0.000014061
113.024	2.88016E-11	0.00017154	0.000689485	0.000985727
113.035	2.21783E-05	3.24192E-05	1.91837E-05	1.59042E-05
113.039	0.00057017	0.001037288	0.000449777	0.000238348
113.06	5.87775E-05	0.00018186	0.000462386	0.000681631
113.092	1.11463E-05	1.76112E-05	8.15547E-06	9.20006E-06
113.097	0.000148024	0.000193879	8.68398E-05	0.000146778
113.129	3.22563E-05	1.14884E-05	2.62152E-06	4.1057E-06
113.133	0.00107785	3.23093E-05	7.88477E-05	8.33654E-05
114.032	5.53207E-05	0.000196289	0.000482452	0.00046279
114.043	5.69661E-05	0.000100978	4.30661E-05	2.41209E-05
114.047	0.000282149	0.000665395	0.000189318	0.000150002
114.068	8.01674E-07	4.18949E-05	0.000180245	0.000197634
114.1	1.22869E-05	1.51733E-05	7.30454E-06	1.10302E-05
114.104	2.92773E-05	2.861E-05	6.1455E-06	6.70263E-08
114.136	9.34278E-05	2.80501E-06	7.0749E-06	7.2398E-06
115.05	2.83607E-05	6.42185E-05	1.95455E-05	1.51631E-05
115.055	0.00346929	0.005877237	0.00208397	0.00194256
115.108	2.7277E-06	2.3685E-06	1.16228E-06	3.01216E-08
167.034	0.000863272	0.001977028	1.82102E-10	0.000393492
